Title,Authors,Year,Citation_Count,Abstract,Keywords,Concepts,DOI
"Streaming Analytics with Apache Kafka","Neha Narkhede, Gwen Shapira",2024,1400,"We review modern streaming analytics architectures built on Apache Kafka ecosystem.","Streaming Analytics,Kafka,Real-Time,Event-Driven","Data Engineering,Analytics",10.1145/3662165.3662766
"Blockchain Scalability: Sharding Approaches","Hung Dang, Ee-Chien Chang",2024,800,"We evaluate sharding approaches for achieving horizontal scalability in blockchain networks.","Sharding,Blockchain,Scalability,Parallelism","Blockchain,Performance",10.1145/3605098.3636015
"GPT-4o: Omnimodal AI","OpenAI Research",2024,8500,"We present GPT-4o an omnimodal model processing text audio image and video inputs natively.","GPT-4o,Omnimodal,Multimodal AI,Real-Time","LLM,Multimodal",10.48550/arXiv.2405.GPT4o
"Retrieval-Augmented Fine-Tuning","Weijia Shi, Sewon Min",2024,2900,"We combine retrieval augmentation with fine-tuning for more efficient domain adaptation of LLMs.","RAFT,Fine-Tuning,RAG,Domain Adaptation","NLP,LLM",10.48550/arXiv.2403.RAFT
"AI Ethics Regulation: Global Perspectives","Mark Coeckelbergh, Luciano Floridi",2024,1600,"We analyze global AI regulation frameworks including EU AI Act and their implications.","AI Regulation,EU AI Act,Governance,Ethics","AI Policy,Law",10.1007/s00146-024-01872-4
"Federated Analytics for Healthcare","Moming Duan, Duo Liu",2024,1100,"We present federated analytics frameworks for privacy-preserving healthcare data analysis.","Federated Analytics,Healthcare,Privacy,Distributed","Healthcare AI,Privacy",10.1016/j.jbi.2024.104612
"Real-World 3D Scene Understanding","Angela Dai, Matthias Niessner",2024,2000,"We survey 3D scene understanding methods for autonomous systems and robotics.","3D Scene Understanding,Point Cloud,LiDAR,Autonomous Systems","Computer Vision,Robotics",10.1109/TPAMI.2024.3371562
"Deepseek: Efficient Open LLMs","DeepSeek AI Team",2025,5500,"We present DeepSeek V3 an efficient open-source LLM with strong reasoning capabilities.","DeepSeek,Open Source LLM,Reasoning,Efficiency","LLM,Open AI",10.48550/arXiv.2501.DeepSeek
"Reasoning Models: Chain of Thought Advances","Jason Wei, Xuezhi Wang",2025,4800,"We survey advances in reasoning capabilities of language models including chain-of-thought.","Chain of Thought,Reasoning,LLM,Problem Solving","AI,Cognition",10.48550/arXiv.2501.CoT
"AI Agents in Production: Real-World Deployment","Harrison Chase, Langchain Team",2025,3200,"We analyze patterns and challenges in deploying AI agent systems in production environments.","AI Agents,Production,Deployment,LangChain","AI,Engineering",10.48550/arXiv.2502.Agents
"World Models for Autonomous Systems","Yann LeCun, Jacob Menick",2025,4100,"We present world model architectures enabling autonomous systems to predict and plan.","World Models,Autonomous AI,Prediction,Planning","AI,Robotics",10.48550/arXiv.2503.WorldModels
"Multimodal Medical AI: Clinical Applications","Eric Topol, Pranav Rajpurkar",2025,2800,"We survey clinical deployment of multimodal AI systems in hospitals and diagnostics.","Medical AI,Clinical,Multimodal,Diagnostics","Healthcare,AI",10.1038/s41591-025-03156-7
"Post-Quantum Cryptography for Cybersecurity","Peter Schwabe, Vadim Lyubashevsky",2025,1500,"We review NIST standardized post-quantum cryptographic algorithms for enterprise cybersecurity.","Post-Quantum,Cryptography,NIST PQC,Lattice-Based","Cybersecurity,Crypto",10.1145/3658644.3670371
"AI-Driven Data Observability","Kevin Hu, Barr Moses",2025,900,"We present AI-powered data observability platforms for automated data quality monitoring.","Data Observability,Data Quality,AI,Monitoring","Data Science,MLOps",10.1145/3654947.3654955
"Ethereum Pectra Upgrade Analysis","Ethereum Foundation Research",2025,400,"We analyze the Pectra upgrade impact on Ethereum validator economics and network performance.","Ethereum,Pectra,Staking,Network Upgrade","Blockchain,Economics",10.48550/arXiv.2505.Pectra
"Small Language Models: Efficient AI","Microsoft Phi Team",2025,3600,"We present small language models achieving strong performance with significantly fewer parameters.","Small LLMs,Efficiency,Phi,Edge AI","LLM,Efficiency",10.48550/arXiv.2504.Phi
"Agentic RAG: Self-Reflective Retrieval","Jerry Liu, LlamaIndex Team",2025,2200,"We present agentic RAG systems that autonomously plan retrieve and reason over documents.","Agentic RAG,Self-Reflective,LLM,Knowledge Retrieval","NLP,AI Agents",10.48550/arXiv.2503.AgenticRAG
"Neural Radiance Fields for Urban Mapping","Ben Mildenhall, Matthew Tancik",2025,1800,"We apply neural radiance fields for large-scale urban 3D reconstruction and mapping.","NeRF,Urban Mapping,3D Reconstruction,Computer Vision","3D Vision,Mapping",10.1109/CVPR.2025.01234
"Cybersecurity Mesh Architecture","Gartner Research, Felix Gaehtgens",2025,600,"We analyze cybersecurity mesh architecture for distributed security management.","CSMA,Mesh Architecture,Distributed Security,Zero Trust","Cybersecurity,Architecture",10.1109/SP.2025.00234
"Real-Time ML Feature Engineering","Chip Huyen, Jacopo Tagliabue",2025,1200,"We present techniques for real-time feature engineering in production ML systems.","Feature Engineering,Real-Time,ML Systems,Production ML","Data Science,MLOps",10.48550/arXiv.2505.Features
"Bitcoin Layer 2 and Lightning Network Advances","Joseph Poon, Thaddeus Dryja",2025,500,"We analyze advances in Bitcoin Layer 2 solutions including Lightning Network improvements.","Lightning Network,Bitcoin,Layer 2,Payment Channels","Blockchain,Scalability",10.48550/arXiv.2505.Lightning
"Compound AI Systems","Matei Zaharia, Omar Khattab",2025,2600,"We define compound AI systems combining multiple models tools and retrieval for complex tasks.","Compound AI,Multi-Model,Tool Use,AI Systems","AI,Architecture",10.48550/arXiv.2504.CompoundAI
"Video Understanding with Multimodal LLMs","Junke Wang, Donglin Wang",2025,1900,"We survey video understanding capabilities of multimodal large language models.","Video Understanding,Multimodal LLM,Temporal Reasoning,Video QA","Computer Vision,LLM",10.48550/arXiv.2504.VideoLLM
"AI-Enhanced SIEM: Next Generation Security","CrowdStrike Research Team",2025,700,"We present AI-enhanced SIEM systems with behavioral analytics and automated response.","AI SIEM,Behavioral Analytics,Threat Detection,Automated Response","Cybersecurity,AI",10.1109/TDSC.2025.01567
"Causal AI for Enterprise Decision Making","Judea Pearl, Elias Bareinboim",2025,1400,"We survey enterprise applications of causal AI for improved decision-making and root cause analysis.","Causal AI,Decision Making,Enterprise,Root Cause","Data Science,AI",10.48550/arXiv.2505.CausalEnterprise
"Modular Blockchain Architecture","Celestia Labs, Mustafa Al-Bassam",2025,800,"We analyze modular blockchain design separating consensus execution and data availability.","Modular Blockchain,Data Availability,Celestia,Rollups","Blockchain,Architecture",10.48550/arXiv.2505.Modular
