researcher_name,orcid,institution,country,works_count,cited_by_count
M. W. Wolter,https://orcid.org/0000-0001-9184-2921,Institut polytechnique de Grenoble,FR,1837,110113
R. M. Bianchi,https://orcid.org/0000-0001-7345-7798,University of Pittsburgh,US,1837,112354
T. Wengler,https://orcid.org/0000-0002-4375-5265,Brookhaven National Laboratory,US,1837,108672
Ryan Kelly,https://orcid.org/0000-0002-3339-4443,Brigham Young University,US,1836,9267
Jerome I. Rotter,https://orcid.org/0000-0001-7191-1723,National Institutes of Health,US,1836,163903
E. Longo,https://orcid.org/0000-0001-6238-6787,"Istituto Nazionale di Fisica Nucleare, Sezione di Roma I",IT,1836,104499
김종원,,,,1836,255
Zhihong Liu,https://orcid.org/0000-0001-6093-0726,,,1836,29486
Juan Wang,https://orcid.org/0000-0002-2531-2188,Tianjin University of Technology,CN,1836,1709
Markus W. Büchler,https://orcid.org/0000-0002-3666-5675,Champalimaud Foundation,PT,1835,97894
김영준,,,,1835,191
Xiaohua Wang,https://orcid.org/0000-0002-6551-151X,Changchun University of Science and Technology,CN,1835,16586
J-F. Arguin,https://orcid.org/0000-0003-0229-3858,Université de Montréal,CA,1835,126271
M. Rotondo,https://orcid.org/0000-0001-5704-6163,"Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di Frascati",IT,1835,68011
A. Gomes,https://orcid.org/0000-0002-5940-9893,University of Lisbon,PT,1835,122020
Genxu Wang,https://orcid.org/0000-0002-3403-0983,Chinese Academy of Sciences,CN,1834,12983
Dan Liu,https://orcid.org/0000-0002-2198-3910,Chonnam National University,KR,1834,41325
Min Zhang,https://orcid.org/0000-0001-8107-5212,Jiangnan University,CN,1834,64082
R. Cousins,https://orcid.org/0000-0002-5963-0467,University of California System,US,1834,106490
David B. Solit,https://orcid.org/0000-0002-6614-802X,Memorial Sloan Kettering Cancer Center,US,1834,86717
Guo,,,,1834,3014
Michael Böhm,https://orcid.org/0000-0002-2976-2514,Universitätsklinikum des Saarlandes,DE,1833,178465
Peter J. Flor,,Novartis (Switzerland),CH,1833,9482
M. Ellert,https://orcid.org/0000-0001-5265-3175,Uppsala University,SE,1832,113936
E. Paganis,https://orcid.org/0000-0002-1950-8993,National Taiwan University,TW,1832,106656
이상진,,Ewha Womans University,KR,1832,196
M. C. Hodgkinson,https://orcid.org/0000-0002-1040-1241,University of Sheffield,GB,1832,116702
Biao Wang,https://orcid.org/0000-0003-1089-1049,Shanghai University,CN,1832,22636
Yuko Kitagawa,https://orcid.org/0000-0002-0271-5670,Keio University,JP,1832,42512
Jon Jacobs,https://orcid.org/0000-0003-0557-7338,Environmental Molecular Sciences Laboratory,US,1832,0
R. Walsh,https://orcid.org/0000-0002-3872-4114,Deutsches Elektronen-Synchrotron DESY,DE,1831,97531
Павел А. Слепухин,https://orcid.org/0000-0001-8132-9905,Ural Federal University,RU,1831,4982
M. Szleper,https://orcid.org/0000-0002-1697-004X,National Centre for Nuclear Research,PL,1831,105531
Stephen V. Faraone,https://orcid.org/0000-0002-9217-3982,SUNY Upstate Medical University,US,1830,168132
Falk Kiefer,https://orcid.org/0000-0001-7213-0398,Central Institute of Mental Health,DE,1830,15431
Emilio Ferrara,https://orcid.org/0000-0002-1942-2831,University of Southern California,US,1830,20208
Office of the Governor-General of Korea,,,,1830,0
Nikolaus Schultz,https://orcid.org/0000-0002-0131-4904,Memorial Sloan Kettering Cancer Center,US,1829,207346
J. P. Cumalat,https://orcid.org/0000-0002-6032-5857,University of Colorado Boulder,US,1829,95155
Yeda Soares de Lucena Bataus,,,,1828,51
Hans‐Georg Stammler,https://orcid.org/0000-0002-0918-7057,Bielefeld University,DE,1828,14633
José‐Alain Sahel,https://orcid.org/0000-0002-4831-1153,University of Pittsburgh,US,1828,42209
Ding Ding,,Southern Federal University,RU,1828,2910
S. Rappoccio,https://orcid.org/0000-0002-5449-2560,Buffalo State University,US,1828,104547
Stephen Morey,,,,1828,0
GBIF.org User,,,,1828,0
Sven Ove Ögren,https://orcid.org/0000-0003-2573-5276,Karolinska Institutet,SE,1827,16512
Die Redaktion,,,,1827,141
이동호,,,,1827,162
이수진,,Inha University,KR,1826,360
Philip Weinstein,https://orcid.org/0000-0001-9860-7166,University of South Australia,AU,1826,17602
Min Liu,https://orcid.org/0000-0001-7076-5066,Southwest Medical University,CN,1826,170
J. Kretzschmar,https://orcid.org/0000-0002-8515-1355,University of Liverpool,GB,1826,109053
Kam‐Lun Ellis Hon,https://orcid.org/0000-0002-6682-5529,Eli Lilly (United States),US,1826,12278
Lin Gu,https://orcid.org/0000-0002-7504-031X,University of Shanghai for Science and Technology,CN,1825,156569
Rohit Kulkarni,https://orcid.org/0000-0001-5029-6119,Joslin Diabetes Center,US,1825,18682
Thomas Henning,https://orcid.org/0000-0002-1493-300X,Max Planck Institute for Astronomy,DE,1825,51384
O. González López,https://orcid.org/0000-0002-4532-6464,Unidades Centrales Científico-Técnicas,ES,1825,107793
P. U. E. Onyisi,https://orcid.org/0000-0003-4201-7997,LIP - Laboratory of Instrumentation and Experimental Particle Physics,PT,1825,109314
British Drama – A Catalogue,,,,1824,183
A. Trzupek,https://orcid.org/0000-0001-6938-5867,"Institute of Nuclear Physics, Polish Academy of Sciences",PL,1824,107703
S. Argirò,https://orcid.org/0000-0003-2150-3750,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,IT,1824,108212
N. Manthos,https://orcid.org/0000-0003-3247-8909,University of Ioannina,GR,1824,107530
Guo -,,,,1824,2084
K. Mereiter,https://orcid.org/0000-0003-0419-1222,TU Wien,AT,1823,10483
이정우,,Dongguk University,KR,1822,260
Mark E. Light,https://orcid.org/0000-0002-0585-0843,University of Southampton,GB,1822,16243
R. A. McPherson,https://orcid.org/0000-0001-9211-7019,University of Liverpool,GB,1822,117290
Anirban Maitra,https://orcid.org/0000-0001-7923-9978,NYU Langone Health,US,1822,108527
F. Ould-Saada,https://orcid.org/0000-0002-9404-835X,OsloMet – Oslo Metropolitan University,NO,1822,115072
C. S. Moon,https://orcid.org/0000-0001-8229-7829,Ewha Womans University,KR,1822,77089
이정호,,,,1821,301
K. Tokushuku,https://orcid.org/0000-0002-8262-1577,Obayashi (Japan),JP,1821,114427
Georgina V. Long,https://orcid.org/0000-0001-8894-3545,The University of Sydney,AU,1821,178088
J. Kirk,https://orcid.org/0000-0001-8096-7577,Rutherford Appleton Laboratory,GB,1820,112306
A. Popov,https://orcid.org/0000-0002-1207-0984,,,1820,107297
M. Fanti,https://orcid.org/0000-0002-8773-145X,University of Milan,IT,1820,112364
Olivier Hermine,https://orcid.org/0000-0003-2574-3874,Délégation Paris 5,FR,1820,66110
김영일,,,,1820,245
Jin Jin,https://orcid.org/0009-0006-3828-5672,Queensland Health,AU,1820,3018
G. Unal,https://orcid.org/0000-0001-8130-7423,Millennium Institute,BR,1819,112982
M. Vos,https://orcid.org/0000-0001-8474-5357,Universitat de València,ES,1819,113472
Robert Burns,https://orcid.org/0009-0001-0915-8416,Johns Hopkins University,US,1819,1111
이재원,,,,1818,245
Alex Hofer,https://orcid.org/0000-0002-5834-4258,Innsbruck Medical University,AT,1818,6463
Martin Gleave,https://orcid.org/0000-0003-4235-0167,,,1818,62222
The Editors,,,,1817,1274
Pierre Fenaux,https://orcid.org/0000-0002-0468-3553,Université Paris Cité,FR,1816,90617
Jim van Os,https://orcid.org/0000-0002-7245-1586,King's College London,GB,1816,146865
M. Arfan Ikram,https://orcid.org/0000-0003-0372-8585,Tamil Nadu Agricultural University,IN,1816,133276
Jonathan Tennyson,https://orcid.org/0000-0002-4994-5238,Department of Space,IN,1816,70741
P. van Gemmeren,https://orcid.org/0000-0002-7227-4006,Argonne National Laboratory,US,1815,107338
John A. Pickett,https://orcid.org/0000-0002-8386-3770,Rothamsted Research,GB,1815,34186
B. Pavlov,https://orcid.org/0000-0003-3635-0646,SurgOne Foregut Institute,US,1815,105338
P. Faccioli,https://orcid.org/0000-0003-1849-6692,LIP - Laboratory of Instrumentation and Experimental Particle Physics,PT,1815,110230
S. Nuzzo,https://orcid.org/0000-0003-1089-6317,"Istituto Nazionale di Fisica Nucleare, Sezione di Bari",IT,1815,98996
GBIF.org User,,,,1815,0
J. Wouter Jukema,https://orcid.org/0000-0002-3246-8359,Leiden University Medical Center,NL,1814,129353
Karl Mann,https://orcid.org/0000-0002-2087-1976,,,1814,32162
Liu Jie,https://orcid.org/0009-0005-0109-4031,Fifth Hospital of Shijiazhuang,CN,1814,90
Stefan Leucht,https://orcid.org/0000-0002-4934-4352,University of Augsburg,DE,1813,59098
D. Orestano,https://orcid.org/0000-0001-5103-5527,Roma Tre University,IT,1813,113631
Roy J. Shephard,https://orcid.org/0000-0001-8546-8179,,,1813,48597
E. Banaś,https://orcid.org/0000-0001-5325-6040,"Institute of Nuclear Physics, Polish Academy of Sciences",PL,1813,117849
Jong Hoon Kim,https://orcid.org/0000-0002-3385-8180,Ulsan College,KR,1813,5312
Bernard MALISSEN,https://orcid.org/0000-0003-1340-9342,Centre National de la Recherche Scientifique,FR,1813,48259
Ralph B. D’Agostino,https://orcid.org/0000-0002-3550-8395,Wake Forest University,US,1812,254871
Robert F. Schmidt,https://orcid.org/0000-0003-4027-800X,Catholic University of Eichstätt-Ingolstadt,DE,1812,19754
Richard B. Lipton,https://orcid.org/0000-0003-2652-2897,Albert Einstein College of Medicine,US,1811,118371
Aaron B. Caughey,https://orcid.org/0000-0002-1752-0972,Oregon Health & Science University,US,1811,44930
Javier P. Gisbert,https://orcid.org/0000-0003-2090-3445,Hospital Universitario de La Princesa,ES,1811,55333
V. A. Mitsou,https://orcid.org/0000-0002-1533-8886,Universitat de València,ES,1811,112856
Patrick Chain,https://orcid.org/0000-0003-3949-3634,Los Alamos National Laboratory,US,1810,41998
Kenneth H. Mayer,https://orcid.org/0000-0001-7460-733X,Harvard University,US,1810,83716
Aeilko H. Zwinderman,https://orcid.org/0000-0003-0361-3139,Amsterdam Neuroscience,NL,1810,73692
N. Neumeister,https://orcid.org/0000-0003-2356-1700,Purdue University West Lafayette,US,1810,96626
S. Veneziano,https://orcid.org/0000-0002-2598-2659,LIP - Laboratory of Instrumentation and Experimental Particle Physics,PT,1810,106876
Enrico Zio,https://orcid.org/0000-0002-7108-637X,Inserm,FR,1809,45716
R. J. Cava,https://orcid.org/0000-0002-3294-6867,Princeton University,US,1809,112575
H. Chen,https://orcid.org/0000-0002-9936-0115,Simon Fraser University,CA,1808,110313
Ronald Moore,https://orcid.org/0000-0003-2806-2855,Pacific Northwest National Laboratory,US,1808,22132
M. Menichelli,https://orcid.org/0000-0002-9004-735X,University of Perugia,IT,1808,100628
G.A. Burton,https://orcid.org/0000-0002-8660-6294,Michigan Department of Natural Resources,US,1808,14192
W. C. Fisher,https://orcid.org/0000-0003-3043-3045,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,FR,1807,83845
Peter Fonagy,https://orcid.org/0000-0003-0229-0091,Department of Health and Social Care,GB,1807,86192
C. Angelini,https://orcid.org/0000-0002-9554-8794,University of Pisa,IT,1807,52113
Jian Wang,https://orcid.org/0000-0002-9482-5227,Fujian Normal University,CN,1807,47388
S. M. Wang,https://orcid.org/0000-0002-5821-4875,Chinese Academy of Sciences,CN,1807,109762
L. Gonella,https://orcid.org/0000-0002-4919-0808,Universitat de València,ES,1806,105400
E. Lobodzinska,https://orcid.org/0000-0001-9012-3431,University of Sussex,GB,1806,110606
David Isenberg,https://orcid.org/0000-0001-9514-2455,Regenerative Medicine Institute,MX,1806,88771
Xiang Zhang,https://orcid.org/0000-0002-3272-894X,Shanghai University,CN,1805,116933
Jun Yu,https://orcid.org/0000-0001-5008-2153,University of Geneva,CH,1805,95862
L. Fanò,https://orcid.org/0000-0002-9007-629X,University of Perugia,IT,1804,107654
Barry Kernfeld,,,,1804,315
Jean‐Louis Pépin,https://orcid.org/0000-0003-3832-2358,Inserm,FR,1804,44009
M. Donadelli,https://orcid.org/0000-0001-8329-4240,Universidade do Estado do Rio de Janeiro,BR,1804,111272
N. F. Castro,https://orcid.org/0000-0001-8491-4376,City University of New York,US,1804,111278
Jianzhong Zhang,https://orcid.org/0000-0001-7056-8206,Chinese Academy of Sciences,CN,1804,28073
J. R. Pater,https://orcid.org/0000-0002-0598-5035,University of Manchester,GB,1803,120394
Brenda W.J.H. Penninx,https://orcid.org/0000-0001-7779-9672,Amsterdam Neuroscience,NL,1803,188713
D. P. C. Sankey,https://orcid.org/0000-0003-0955-4213,Rutherford Appleton Laboratory,GB,1803,116055
C. Tuvé,https://orcid.org/0000-0003-0739-3153,University of Catania,IT,1803,108661
G. Aad,https://orcid.org/0000-0002-6665-4934,Aix-Marseille Université,FR,1803,114332
A. Zghiche,https://orcid.org/0000-0002-1178-1450,Centre National de la Recherche Scientifique,FR,1803,70402
B. P. Kerševan,https://orcid.org/0000-0002-4529-452X,Rutherford Appleton Laboratory,GB,1802,113639
Yasuhiko Arakawa,https://orcid.org/0000-0003-0373-9452,,,1800,38318
W. J. Murray,https://orcid.org/0000-0003-1710-6306,Rutherford Appleton Laboratory,GB,1800,118797
Brandon J. Fisher,,,,1800,2589
P. de Barbaro,https://orcid.org/0000-0002-5508-1827,University of Rochester,US,1800,85893
N. Néri,https://orcid.org/0000-0002-6106-3756,University of Milan,IT,1800,61292
D. Costanzo,https://orcid.org/0000-0003-4920-6264,Laboratoire d’Annecy de Physique des Particules,FR,1800,114746
이진우,,,,1800,519
Wang,,,,1800,2153
Sergio Giralt,https://orcid.org/0000-0003-1944-5053,Memorial Sloan Kettering Cancer Center,US,1799,63613
S. Trincaz-Duvoid,https://orcid.org/0000-0001-5913-0828,Centre National de la Recherche Scientifique,FR,1799,111217
F. Djama,https://orcid.org/0000-0003-1881-3360,Aix-Marseille Université,FR,1799,114900
F. Pastore,https://orcid.org/0000-0001-5962-7826,Royal Holloway University of London,GB,1798,106672
E. Gülmez,https://orcid.org/0000-0002-6353-518X,Boğaziçi University,TR,1798,102811
H.C. Marsmann,,Paderborn University,DE,1798,2261
Inderbir S. Gill,https://orcid.org/0000-0002-5113-7846,University of Southern California,US,1797,62273
김선영,,,,1796,233
이영주,,,,1796,290
GBIF.org User,,,,1796,1
C. G. Lester,https://orcid.org/0000-0001-5770-4883,University of Cambridge,GB,1795,113247
D. W. Miller,https://orcid.org/0000-0002-9485-9435,University of Chicago,US,1795,82105
Fabrice André,https://orcid.org/0000-0001-5795-8357,Inserm,FR,1794,105361
A. J. Barr,https://orcid.org/0000-0002-3533-3740,University of Geneva,CH,1794,116124
G. Simi,https://orcid.org/0000-0001-6741-6199,University of Padua,IT,1794,64200
JIRO HIROKAWA,,Institute of Science Tokyo,,1794,1
Unknown,,,,1794,0
GBIF.org User,,,,1794,0
Maryvonne Gérin,https://orcid.org/0000-0002-2418-7952,Centre National de la Recherche Scientifique,FR,1793,12435
Sailing He,https://orcid.org/0000-0002-3401-1125,Zhejiang A & F University,CN,1793,44251
A. Rizzi,https://orcid.org/0000-0002-4543-2718,University of Siena,IT,1792,100734
T. Bołd,https://orcid.org/0000-0002-2432-411X,Jagiellonian University,PL,1792,114897
V. Chiarella,https://orcid.org/0000-0002-4210-2924,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,FR,1791,94854
K. Theofilatos,https://orcid.org/0000-0001-8448-883X,National and Kapodistrian University of Athens,GR,1791,104897
L. A. Antonelli,https://orcid.org/0000-0002-5037-9034,Astronomical Observatory of Rome,IT,1791,72923
R. Wang,https://orcid.org/0000-0002-5059-8456,Beijing Normal University,CN,1790,97791
M. Pesaresi,https://orcid.org/0000-0002-9759-1083,Imperial Valley College,US,1790,100230
Ravi P. Agarwal,https://orcid.org/0000-0003-0634-2370,Florida Institute of Technology,US,1790,38893
Takeshi Kimura,https://orcid.org/0000-0002-5665-4076,Municipal Hirakata City Hospital,JP,1790,52881
J. Goh,https://orcid.org/0000-0002-1129-2083,Sejong University,KR,1790,99335
M. Wielers,https://orcid.org/0000-0001-9232-4827,Rutherford Appleton Laboratory,GB,1790,106564
김영환,,,,1790,289
P. Dervan,https://orcid.org/0000-0003-3929-8046,University of Liverpool,GB,1789,112416
Hölger Thiele,https://orcid.org/0000-0002-0169-998X,University Hospital Schleswig-Holstein,DE,1789,103073
M. Selvaggi,https://orcid.org/0000-0002-5144-9655,European Organization for Nuclear Research,CH,1789,105480
otto kässi,https://orcid.org/0000-0002-8666-200X,Research Institute of the Finnish Economy,FI,1789,1520
Marie-Louise G. Wadenberg,,Linnaeus University,SE,1789,1654
Alessandro Repici,https://orcid.org/0000-0002-1621-6450,Humanitas University,IT,1788,36987
L. Caminada,https://orcid.org/0000-0001-5677-6033,University of Zurich,CH,1787,103609
J. E. Cole,https://orcid.org/0000-0001-5638-7599,Brunel University of London,GB,1787,103241
M. Felcini,https://orcid.org/0000-0002-2051-9331,University College Dublin,IE,1787,111841
C. Da Vià,https://orcid.org/0000-0001-6154-7323,University of Manchester,GB,1787,105474
H. Kolanoski,https://orcid.org/0000-0003-0435-2524,Humboldt-Universität zu Berlin,DE,1787,116569
Lee Kovarsky,,,,1787,0
Qian Chen,https://orcid.org/0000-0002-1909-302X,East China University of Science and Technology,CN,1787,31433
S. Rosati,https://orcid.org/0000-0003-0838-5980,University of Chicago,US,1787,106375
Carol L. Shields,https://orcid.org/0000-0002-3288-3632,Thomas Jefferson University,US,1786,57229
I.G. Sipes,,University of Arizona,US,1786,13477
Jie Tian,https://orcid.org/0000-0003-0498-0432,Dalian Ocean University,CN,1786,61633
Yesne Alici,,Memorial Sloan Kettering Cancer Center,US,1785,2369
Bart Ellenbroek,https://orcid.org/0000-0003-1996-4873,Victoria University of Wellington,NZ,1785,9767
Not Given Author,,,,1785,1531
Jakob Abermann,https://orcid.org/0000-0003-1285-1868,University of Graz,AT,1785,2624
Larry W. Moreland,https://orcid.org/0000-0003-4483-0359,,,1784,55827
F. M. Peeters,https://orcid.org/0000-0003-3507-8951,University of Antwerp,BE,1784,59138
Zhang Li,https://orcid.org/0000-0003-1989-6102,Jiangnan University,CN,1784,18925
Gang Li,https://orcid.org/0000-0002-3981-2239,University of Electronic Science and Technology of China,CN,1784,41747
Herbert C. Brown,,,,1784,55955
Andreas von Deimling,https://orcid.org/0000-0002-5863-540X,German Cancer Research Center,DE,1783,174087
A. Hinzmann,https://orcid.org/0000-0002-2633-4696,Deutsches Elektronen-Synchrotron DESY,DE,1783,99942
Robert E. Scully,,Ollscoil na Gaillimhe – University of Galway,IE,1783,49533
Qian Zhang,https://orcid.org/0000-0001-5975-9781,Macau University of Science and Technology,MO,1783,37390
GBIF.org User,,,,1783,0
Marco Metra,https://orcid.org/0000-0001-6691-8568,Vita-Salute San Raffaele University,IT,1782,115948
Johann Wolfgang von Gœthe,,,,1782,5160
Sébastien Ourselin,https://orcid.org/0000-0002-5694-5340,King's College London,GB,1782,69466
B.M. Mikhova,https://orcid.org/0000-0001-8851-971X,Bulgarian Academy of Sciences,BG,1782,152
C.‐C. Jay Kuo,https://orcid.org/0000-0001-9474-5035,University of Southern California,US,1781,36647
Johan G. Eriksson,https://orcid.org/0000-0002-2516-2060,"Agency for Science, Technology and Research",SG,1781,175462
Ashok Agarwal,https://orcid.org/0000-0003-0585-1026,Cleveland Clinic,US,1781,84567
김지혜,,,,1781,409
I. van Vulpen,https://orcid.org/0000-0001-7074-5655,National Institute for Subatomic Physics,NL,1781,112190
Caesar Gaius Julius Caesar,,,,1781,32
C. Haber,https://orcid.org/0000-0002-0155-1360,Lawrence Berkeley National Laboratory,US,1781,94403
Weijun Qian,https://orcid.org/0000-0002-5393-2827,Pacific Northwest National Laboratory,US,1781,0
B. Álvarez González,https://orcid.org/0000-0001-7767-4810,Universidad de Oviedo,ES,1780,99465
Rob Knight,https://orcid.org/0000-0002-0975-9019,UC San Diego Health System,US,1780,463618
H. Stoeckli‐Evans,https://orcid.org/0000-0002-9960-3869,University of Neuchâtel,CH,1780,15082
CMS Collaboration,,,,1780,0
Edwin C. Constable,https://orcid.org/0000-0003-4916-4041,University of Basel,CH,1779,26445
N. Demaria,https://orcid.org/0000-0003-0743-9465,"Istituto Nazionale di Fisica Nucleare, Sezione di Torino",IT,1779,105038
J. Eckert,https://orcid.org/0000-0003-4112-3181,Montanuniversität Leoben,AT,1778,67020
Hideyuki Okano,https://orcid.org/0000-0001-7482-5935,Meiji University,JP,1778,87712
Liu,,,,1778,2485
Ladislav Hejdánek,,,,1777,10
F. Déliot,https://orcid.org/0000-0003-0777-6031,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,FR,1777,85772
Paul Willner,https://orcid.org/0000-0001-5576-5260,Swansea University,GB,1777,24600
Elizabeth Eder,https://orcid.org/0000-0002-1486-7591,Environmental Molecular Sciences Laboratory,US,1777,0
Jan Deprest,https://orcid.org/0000-0002-4920-945X,Universitair Ziekenhuis Leuven,BE,1776,41285
Carlo M. Croce,https://orcid.org/0000-0003-3788-1457,The Ohio State University,US,1775,199080
F. Fassi,https://orcid.org/0000-0002-6423-7213,Mohammed V University,MA,1775,115937
S Pirro,,,,1775,0
Ting Liu,https://orcid.org/0000-0003-1816-5551,Zhejiang Chinese Medical University,CN,1775,41546
Zhang,,Northeast Radio Observatory Corporation,US,1775,2090
Ying Liu,https://orcid.org/0000-0003-0571-2253,Chongqing University,CN,1774,340
Jos H. Beijnen,https://orcid.org/0000-0003-0118-561X,,,1774,76091
R. Di Nardo,https://orcid.org/0000-0003-1111-3783,Roma Tre University,IT,1774,112865
J. Varela,https://orcid.org/0000-0003-2613-3146,LIP - Laboratory of Instrumentation and Experimental Particle Physics,PT,1774,101342
J. Andreä,https://orcid.org/0000-0002-8298-7560,Centre National de la Recherche Scientifique,FR,1774,105294
P. Govoni,https://orcid.org/0000-0002-0227-1301,"Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca",IT,1774,106546
Han .,,State Scientific Research Navigation and Hydrographic Institute,RU,1774,2487
Yuranga Weerakkody,,,,1774,995
김대영,,,,1773,133
J. Mousa,https://orcid.org/0000-0002-2978-2718,University of Cyprus,CY,1773,106732
K. Smolek,https://orcid.org/0000-0002-5996-7000,Brookhaven National Laboratory,US,1773,106934
이상철,,,,1773,163
S. Tavernier,https://orcid.org/0000-0002-6792-9522,Vrije Universiteit Brussel,BE,1773,92206
Kazuomi Kario,https://orcid.org/0000-0002-8251-4480,Jichi Medical University,JP,1772,54212
M. E. Dinardo,https://orcid.org/0000-0002-8575-7250,"Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca",IT,1772,99536
Tracy B. Mallory,,,,1772,3219
C. Doglioni,https://orcid.org/0000-0002-1509-0390,Lund University,SE,1772,105022
Z. Q. Zhu,https://orcid.org/0000-0001-7175-3307,Xihua University,CN,1772,62926
O. Røhne,https://orcid.org/0000-0001-7744-9584,University of Oslo,NO,1772,100327
Chen Liu,https://orcid.org/0009-0003-0430-6146,Kunming University of Science and Technology,CN,1772,51500
GBIF.org User,,,,1772,0
Giyeong Kim,https://orcid.org/0000-0001-6297-639X,,,1771,490
G. K. Surya Prakash,https://orcid.org/0000-0002-6350-8325,University of Southern California,US,1771,47114
김동환,,Yonsei University,KR,1771,139
L. Feligioni,https://orcid.org/0000-0002-1403-0951,Chinese Academy of Sciences,CN,1771,114550
D. Benchekroun,https://orcid.org/0000-0001-5196-8327,University of Hassan II Casablanca,MA,1771,111564
L. Levchuk,https://orcid.org/0000-0001-5889-7410,Kharkiv Institute of Physics and Technology,UA,1771,100113
GBIF.org User,,,,1771,0
Zhigang Li,https://orcid.org/0000-0001-7164-1049,Chongqing University,CN,1770,25504
A. Dell’Acqua,https://orcid.org/0000-0003-2453-7745,European Organization for Nuclear Research,CH,1770,140456
M. I. Josa,https://orcid.org/0000-0002-4985-6964,Unidades Centrales Científico-Técnicas,ES,1770,105991
이상원,,Korea University,KR,1770,186
C.-E. Wulz,https://orcid.org/0000-0001-9226-5812,TU Wien,AT,1770,103879
김진희,,,,1769,290
M. Lassnig,https://orcid.org/0000-0002-9541-0592,"Istituto Nazionale di Fisica Nucleare, Sezione di Bologna",IT,1769,104178
S. Lehti,https://orcid.org/0000-0003-1370-5598,Helsinki Institute of Physics,FI,1769,108108
K. Nikolopoulos,https://orcid.org/0000-0002-3048-489X,Universität Hamburg,DE,1768,112058
Albert Y. Zomaya,https://orcid.org/0000-0002-3090-1059,University of Technology Sydney,AU,1768,42025
F. Ptochos,https://orcid.org/0000-0002-3432-3452,University of Cyprus,CY,1768,104959
Ning Wang,https://orcid.org/0000-0003-1410-329X,Zhejiang Chinese Medical University,CN,1768,50861
Gerd Hasenfuß,https://orcid.org/0000-0002-5942-361X,Universitätsmedizin Göttingen,DE,1767,55712
Stephen J. Forman,https://orcid.org/0000-0002-2803-4152,City Of Hope National Medical Center,US,1767,60893
D. Boumediene,https://orcid.org/0000-0002-7809-3118,Université Clermont Auvergne,FR,1767,107745
Bernard J. Gersh,https://orcid.org/0000-0001-5605-900X,Clinical Research Institute,US,1767,139279
Andreas Marneros,,,,1766,6244
M. Bindi,https://orcid.org/0000-0001-6172-545X,University of Göttingen,DE,1766,105894
C. Troncon,https://orcid.org/0000-0002-7997-8524,,,1766,113304
Peter Riederer,https://orcid.org/0000-0002-3453-6335,University of Southern Denmark,DK,1766,48712
Hyoung Seop Kim,https://orcid.org/0000-0002-3155-583X,Pohang University of Science and Technology,KR,1766,50043
Brooke Kaiser,https://orcid.org/0000-0001-7039-1332,Pacific Northwest National Laboratory,US,1766,0
T. Koffas,https://orcid.org/0000-0001-9612-4988,Charles University,CZ,1765,113415
김성민,,,,1765,222
Matthew Meyerson,https://orcid.org/0000-0002-9133-8108,Broad Institute,US,1765,277609
C. Meyer,https://orcid.org/0000-0003-3552-6566,Indiana University,US,1765,126812
Hugh Mitchell,https://orcid.org/0000-0003-0143-8461,Pacific Northwest National Laboratory,US,1765,0
Lye Meng Markillie,https://orcid.org/0000-0001-8275-4882,Environmental Molecular Sciences Laboratory,US,1765,0
Vanderlei Salvador Bagnato,https://orcid.org/0000-0003-4833-239X,Texas A&M University System,US,1764,22860
Mark Woodward,https://orcid.org/0000-0001-9800-5296,University of Technology Sydney,AU,1764,161373
Nuno Sousa,https://orcid.org/0000-0002-8755-5126,Max Planck Society,DE,1764,42458
В.И. Овчаренко,https://orcid.org/0000-0002-8280-8112,International Tomography Center,RU,1764,6547
A. Coccaro,https://orcid.org/0000-0003-2368-4559,"Istituto Nazionale di Fisica Nucleare, Sezione di Genova",IT,1764,114326
N. Makovec,https://orcid.org/0000-0001-5124-904X,Centre National de la Recherche Scientifique,FR,1764,104689
T. Lindén,https://orcid.org/0009-0002-4847-8882,Helsinki Institute of Physics,FI,1763,106099
M. G. Vincter,https://orcid.org/0000-0002-5338-8972,Carleton University,CA,1763,144401
S. Banerjee,https://orcid.org/0000-0001-8852-2409,Twitter (United States),US,1763,91379
T.W. Schultz,https://orcid.org/0000-0002-9788-1662,Knoxville College,US,1763,18068
李娟,,,,1762,35
S. Zenz,https://orcid.org/0000-0002-9720-1794,Centre National de la Recherche Scientifique,FR,1762,100942
Kelly Hatter,,Environmental Molecular Sciences Laboratory,US,1762,0
Joseph Haydn,,,,1761,641
Martín Knapp,https://orcid.org/0000-0003-1427-0215,London School of Economics and Political Science,GB,1761,62861
C. A. Bernardes,https://orcid.org/0000-0001-5790-9563,Universidade Federal do Rio Grande do Sul,BR,1761,92853
Hiroshi Amano,https://orcid.org/0000-0002-7598-2593,Kyoto University,JP,1761,42105
Rüssel J. Reiter,https://orcid.org/0000-0001-6763-4225,The University of Texas at San Antonio Health Science Center,US,1761,143932
Jung Tae Kim∥,https://orcid.org/0000-0003-0661-4735,University of California System,US,1761,3712
Jing Liu,https://orcid.org/0000-0002-3255-3019,Zhejiang Chinese Medical University,CN,1761,37037
