organization_name,country,type,city,homepage_url,works_count,cited_by_count
Nanjing Forestry University,CN,education,Nanjing,https://www.njfu.edu.cn/,48212,2584597
Universidade Estadual de Maringá,BR,education,Maringá,http://www.uem.br/,48079,1568288
Jeonbuk National University,KR,education,Jeonju,http://www.jbnu.ac.kr/kor/,48034,3047113
University of Rhode Island,US,education,Kingston,https://www.uri.edu,48000,2468360
Universidad de Guadalajara,MX,education,Guadalajara,https://www.udg.mx,47971,871923
Ministry of Agriculture and Rural Affairs,CN,government,Beijing,http://english.agri.gov.cn/,47933,4072996
Amsterdam UMC Location Vrije Universiteit Amsterdam,NL,healthcare,Amsterdam,https://vumc.nl,47921,7699323
Amirkabir University of Technology,IR,education,Tehran,http://aut.ac.ir/www/aut/main/?l=3,47721,1970709
Tokushima University,JP,education,Tokushima,https://www.tokushima-u.ac.jp/,47708,3145318
Medical Research Council,GB,government,London,https://www.ukri.org/councils/mrc/,47698,12202784
Universidad de Valladolid,ES,education,Valladolid,https://www.uva.es,47690,1882017
Taiyuan University of Technology,CN,education,Taiyuan,https://www.tyut.edu.cn,47682,2427160
Seoul National University Hospital,KR,healthcare,Seoul,http://www.snuh.org,47646,3770888
Middle East Technical University,TR,education,Ankara,https://www.metu.edu.tr,47614,2563353
Tongji Hospital,CN,healthcare,Wuhan,http://english.tjh.com.cn/,47603,4285378
Asan Medical Center,KR,healthcare,Seoul,https://www.amc.seoul.kr,47570,4261079
Chung-Ang University,KR,education,Seoul,http://neweng.cau.ac.kr/,47529,2143023
Samsung (South Korea),KR,company,Seoul,http://www.samsung.com/sec/home/,47424,3508718
State University of Semarang,ID,education,Semarang,https://unnes.ac.id,47291,300127
Boston College,US,education,Boston,https://www.bc.edu,47276,3589286
University of Macau,MO,education,Macao,https://www.um.edu.mo,47231,2405349
King Fahd University of Petroleum and Minerals,SA,education,Dhahran,https://www.kfupm.edu.sa,47230,2133185
University of Rajasthan,IN,education,Jaipur,http://www.uniraj.ac.in/,47160,779397
Old Dominion University,US,education,Norfolk,https://www.odu.edu,47156,1910294
Bhabha Atomic Research Centre,IN,facility,Mumbai,http://www.barc.gov.in/,47110,2989811
University of Hull,GB,education,Hull,https://www.hull.ac.uk,47026,2145881
École Pratique des Hautes Études,FR,education,Paris,https://www.ephe.psl.eu,46980,1308276
Comenius University Bratislava,SK,education,Bratislava,https://uniba.sk/,46845,2708814
Universidad Carlos III de Madrid,ES,education,Madrid,https://www.uc3m.es,46821,1368638
Assiut University,EG,education,Asyut,http://www.aun.edu.eg/,46781,1144129
University of Shanghai for Science and Technology,CN,education,Shanghai,https://www.usst.edu.cn,46664,2032494
Renmin University of China,CN,education,Beijing,https://www.ruc.edu.cn,46658,1462252
Planetary Science Institute,US,nonprofit,Tucson,https://www.psi.edu/,46625,4102890
Délégation Paris 5,FR,government,Paris,http://www.idf.inserm.fr/rubriques/l-inserm-en-ile-de-france/delegation-paris-5,46560,6508328
Dalian Medical University,CN,education,Dalian,http://www.dlmedu.edu.cn/english/,46438,2632150
Scripps Research Institute,US,nonprofit,San Diego,https://www.scripps.edu/,46390,13367695
North-West University,ZA,education,Potchefstroom,https://www.nwu.ac.za,46360,1543721
University of Idaho,US,education,Moscow,https://uidaho.edu,46355,2143774
Shinshu University,JP,education,Matsumoto,http://www.shinshu-u.ac.jp/english/index.html,46343,3047021
Université Paris Nanterre,FR,education,Nanterre,https://www.parisnanterre.fr,46251,328549
Al-Azhar University,EG,education,Cairo,http://www.azhar.edu.eg,46244,1177098
Kent State University,US,education,Kent,http://www.kent.edu/,46210,2598488
California Southern University,US,education,Chandler,https://www.calsouthern.edu,46193,1998385
Jadavpur University,IN,education,Kolkata,http://www.jaduniv.edu.in/,46146,1894246
University of Rochester Medical Center,US,healthcare,Rochester,https://www.urmc.rochester.edu,45963,4674290
University of Toledo,US,education,Toledo,http://www.utoledo.edu/,45949,2335663
Université Paris Sciences et Lettres,FR,education,Paris,https://psl.eu,45943,4839376
Université Paris 8,FR,education,Paris,https://www.univ-paris8.fr,45883,353876
Inha University,KR,education,Incheon,https://www.inha.ac.kr,45819,2378523
Institute of Medical Sciences,IN,education,Varanasi,http://www.imsbhu.ac.in/,45797,1038460
Samsung Medical Center,KR,healthcare,Seoul,http://www.smc.or.kr,45739,4332715
Tokai University,JP,education,Tokyo,https://www.u-tokai.ac.jp,45710,1933101
Dalian University,CN,education,Dalian,https://dlu.edu.cn,45658,3753709
Sharif University of Technology,IR,education,Tehran,http://www.sharif.ir/web/en,45584,1911037
National Central University,TW,education,Taoyuan City,http://www.ncu.edu.tw/en,45571,2947039
Rockefeller University,US,education,New York,https://www.rockefeller.edu,45406,12919135
"China University of Petroleum, East China",CN,education,Qingdao,https://upc.edu.cn,45335,3255265
Universidade Federal de Pelotas,BR,education,Pelotas,https://portal.ufpel.edu.br,45281,1661007
University of Castilla-La Mancha,ES,education,Ciudad Real,https://www.uclm.es,45263,2194839
University of Arkansas for Medical Sciences,US,education,Little Rock,https://uams.edu,45244,4080940
Udayana University,ID,education,Denpasar,https://www.unud.ac.id,45242,342136
Universidad de Alcalá,ES,education,Alcalá de Henares,https://uah.es,45236,1996592
Gunma University,JP,education,Maebashi,http://www.gunma-u.ac.jp/,45191,2668153
Gifu University,JP,education,Gifu City,http://www.gifu-u.ac.jp/en/,45183,2473531
Augusta University,US,education,Augusta,https://www.augusta.edu,45019,3705572
Mitchell Institute,US,nonprofit,Portland,http://mitchellinstitute.org/,44974,1823981
Philadelphia University,US,education,Philadelphia,http://www.philau.edu/,44964,4086345
RIKEN,JP,facility,Wako,https://www.riken.jp,44958,3831414
Agriculture and Agri-Food Canada,CA,government,Ottawa,https://agriculture.canada.ca,44916,3414405
Nanjing University of Posts and Telecommunications,CN,education,Nanjing,http://www.njupt.edu.cn/en/,44867,2053994
"Agency for Science, Technology and Research",SG,government,Singapore,https://www.a-star.edu.sg,44852,5481792
Marmara University,TR,education,Istanbul,https://www.marmara.edu.tr,44847,1254107
Northwest University,CN,education,Xi'an,http://english.nwu.edu.cn/,44644,2720113
Pfizer (United States),US,company,New York,http://www.pfizer.com/,44601,7871629
University of Wyoming,US,education,Laramie,https://www.uwyo.edu,44550,2569641
National University of San Marcos,PE,education,Lima,http://www.unmsm.edu.pe/,44542,318340
Yamaguchi University,JP,education,Yamaguchi,http://www.yamaguchi-u.ac.jp/english.html,44492,2072817
Shaanxi Normal University,CN,education,Xi'an,https://www.snnu.edu.cn,44427,2525899
Hunan Normal University,CN,education,Changsha,https://www.hunnu.edu.cn,44416,1611826
University of L'Aquila,IT,education,L’Aquila,https://www.univaq.it,44412,2426061
Glenn Research Center,US,facility,Cleveland,http://www.nasa.gov/centers/glenn/home/index.html,44344,991274
The University of Texas at San Antonio,US,education,San Antonio,http://www.utsa.edu/,44308,2245719
Royal Holloway University of London,GB,education,Egham,https://www.royalholloway.ac.uk/home.aspx,44286,3840887
Northumbria University,GB,education,Newcastle upon Tyne,https://www.northumbria.ac.uk/,44267,1424329
CEA Grenoble,FR,government,Grenoble,https://www.cea.fr/Pages/le-cea/les-centres-cea/grenoble.aspx,44141,3865930
Université de Caen Normandie,FR,education,Caen,https://www.unicaen.fr,44137,2060369
University of Mons,BE,education,Mons,https://web.umons.ac.be,44094,1722843
Universidad de Costa Rica,CR,education,San José,http://www.ucr.ac.cr/,44094,738583
Hainan University,CN,education,Haikou,https://www.hainanu.edu.cn,44040,1718083
Université de Versailles Saint-Quentin-en-Yvelines,FR,education,Versailles,https://www.uvsq.fr,44034,3322716
Beijing Forestry University,CN,education,Beijing,https://www.bjfu.edu.cn,43989,2343672
University of Kansas Medical Center,US,funder,Kansas City,https://www.kumc.edu,43949,3492135
Vita-Salute San Raffaele University,IT,education,Milan,https://www.unisr.it,43925,4589869
Addis Ababa University,ET,education,Addis Ababa,http://www.aau.edu.et/,43812,1285758
Universidade Estadual de Londrina,BR,education,Londrina,https://portal.uel.br,43802,1210754
Keele University,GB,education,Newcastle-under-Lyme,https://www.keele.ac.uk,43707,2354923
Silesian University of Technology,PL,education,Gliwice,https://www.polsl.pl,43702,912686
Universidad Nacional de Córdoba,AR,education,Córdoba,https://www.unc.edu.ar,43650,1483001
Hebei Medical University,CN,education,Shijiazhuang,https://www.hebmu.edu.cn,43635,1745133
Telkom University,ID,education,Bandung,https://telkomuniversity.ac.id,43591,210020
King's College Hospital,GB,healthcare,London,https://www.kch.nhs.uk/patientsvisitors/getting-to-kings,43552,3895020
Kagoshima University,JP,education,Kagoshima,https://www.kagoshima-u.ac.jp,43537,2311380
Michigan Medicine,US,healthcare,Ann Arbor,http://www.uofmhealth.org/,43477,4182004
"University of Nevada, Las Vegas",US,education,Las Vegas,https://www.unlv.edu,43455,1699244
Makerere University,UG,education,Kampala,https://mak.ac.ug,43448,1797047
Ajou University,KR,education,Suwon,https://www.ajou.ac.kr,43429,2190835
University of Kaiserslautern,DE,education,Kaiserslautern,http://www.uni-kl.de/no_cache/en/home/,43399,2002561
National Chung Hsing University,TW,education,Taichung,http://www.nchu.edu.tw/en-index.php,43369,2138920
The Royal Free Hospital,GB,healthcare,London,https://www.royalfree.nhs.uk/the-royal-free-hospital/,43352,4862912
Central China Normal University,CN,education,Wuhan,http://english.ccnu.edu.cn/,43313,3757804
Geological Survey of Denmark and Greenland,DK,facility,Copenhagen,https://www.geus.dk,43242,395466
Universidad de La Laguna,ES,education,San Cristóbal de La Laguna,https://www.ull.es,43102,2591113
Ulsan College,KR,education,Ulsan,https://www.uc.ac.kr/semi/Main.do,43005,3945814
Lehigh University,US,education,Bethlehem,https://www2.lehigh.edu,42995,2278662
Institut Gustave Roussy,FR,facility,Villejuif,http://www.gustaveroussy.fr/en,42994,7628641
Bridge University,SS,education,Juba,https://bridgeuniversity.net,42923,2299994
Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,IT,healthcare,Milan,http://www.policlinico.mi.it/,42752,3284895
Zhongshan Hospital,CN,healthcare,Shanghai,https://www.zs-hospital.sh.cn,42746,3341241
Université de Poitiers,FR,education,Poitiers,http://www.univ-poitiers.fr/,42739,1831574
Penn State Milton S. Hershey Medical Center,US,healthcare,Hershey,http://www.pennstatehershey.org/web/guest/welcome,42693,2981595
Shandong First Medical University,CN,education,Jinan,http://www.sdams.cn/,42690,2125046
Shiraz University of Medical Sciences,IR,education,Shiraz,https://sums.ac.ir,42680,1679625
Nicolaus Copernicus University,PL,education,Torun,https://www.umk.pl,42675,1184396
Fermi National Accelerator Laboratory,US,facility,Batavia,https://www.fnal.gov,42609,17482311
Warsaw University of Life Sciences,PL,education,Warsaw,http://www.sggw.pl/en/,42585,875760
"Islamic Azad University, Tehran",IR,education,Tehran,http://www.iau.ac.ir/,42528,698879
University of Sfax,TN,education,Sfax,https://univ-sfax.tn,42450,1515457
Triphase (Belgium),BE,company,Leuven,https://triphase.com/,42450,1502
National Sun Yat-sen University,TW,education,Kaohsiung City,http://www.nsysu.edu.tw/bin/home.php?Lang=en,42400,1784846
Sunnybrook Health Science Centre,CA,healthcare,Toronto,http://sunnybrook.ca/,42388,4372293
Shiraz University,IR,education,Shiraz,https://shirazu.ac.ir,42364,1524528
University of Calabria,IT,education,Rende,https://www.unical.it,42229,3333884
Iran University of Science and Technology,IR,education,Tehran,http://www.iust.ac.ir,42148,1749992
Juntendo University,JP,education,Tokyo,http://www.juntendo.ac.jp/english/,42114,3326024
Medical University of Warsaw,PL,education,Warsaw,https://www.wum.edu.pl,42106,1764543
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,MX,facility,Mexico City,https://www.cinvestav.mx,42062,2934980
University of Gdańsk,PL,education,Gdansk,https://ug.edu.pl,41942,1169593
Shahid Beheshti University,IR,education,Tehran,http://en.sbu.ac.ir/sitepages/home.aspx,41941,1267077
"Anna University, Chennai",IN,education,Chennai,https://www.annauniv.edu/,41935,1495426
Schlumberger (Ireland),IE,company,Dublin,http://www.slb.com/,41930,1051830
Pontifícia Universidade Católica do Rio Grande do Sul,BR,education,Porto Alegre,https://www.pucrs.br,41924,1019991
University of North Carolina at Charlotte,US,education,Charlotte,https://www.charlotte.edu,41918,1800834
McGill University Health Centre,CA,healthcare,Montreal,https://muhc.ca/,41849,3843572
Paul Scherrer Institute,CH,facility,Villigen,http://www.psi.ch/,41848,5085726
Ewha Womans University,KR,education,Seoul,http://www.ewha.ac.kr/mbs/ewhaen/,41839,2922784
Universidade Tecnológica Federal do Paraná,BR,education,Curitiba,http://www.utfpr.edu.br/,41770,644360
Vilnius University,LT,education,Vilnius,https://vu.lt,41692,1657432
FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic,CZ,facility,Prague,https://www.fzu.cz,41688,3775283
Qingdao University of Science and Technology,CN,education,Qingdao,https://www.qust.edu.cn,41671,2493398
Sechenov University,RU,education,Moscow,https://www.sechenov.ru/,41625,931052
Sandia National Laboratories California,US,facility,Livermore,http://www.sandia.gov/locations/livermore_california.html,41576,2693184
Early Manuscripts Electronic Library,US,archive,Rolling Hills Estates,http://emel-library.org/,41571,69280
Portland State University,US,education,Portland,https://www.pdx.edu/,41544,1372140
Chang'an University,CN,education,Xi'an,https://chd.edu.cn,41530,1651458
Institut polytechnique de Grenoble,FR,education,Grenoble,http://www.grenoble-inp.fr/welcome/,41498,2234657
Universidade de Ribeirão Preto,BR,education,Ribeirão Preto,http://www.unaerp.br/,41481,1397006
University of Crete,GR,education,Rethymno,https://www.uoc.gr,41411,2632065
Scripps Institution of Oceanography,US,facility,La Jolla,https://scripps.ucsd.edu/,41410,4229880
Hasanuddin University,ID,education,Makassar,https://www.unhas.ac.id,41264,386926
Yeungnam University,KR,education,Daegu,http://www.yu.ac.kr/en/main/index.php,41202,2070450
Yanshan University,CN,education,Qinhuangdao,http://english.ysu.edu.cn/,41131,2021974
Instytut Nauk Prawnych,PL,facility,Warsaw,http://www.inp.pan.pl/,41012,7863
Odense University Hospital,DK,funder,Odense,https://ouh.dk,40960,2737947
Instytut Nauk Geologicznych,PL,facility,Warsaw,http://www.ing.pan.pl/,40924,118775
Universitas Sumatera Utara,ID,education,Medan,https://usu.ac.id,40916,298745
Qatar University,QA,education,Doha,http://www.qu.edu.qa/,40914,1762914
John Radcliffe Hospital,GB,healthcare,Oxford,http://www.ouh.nhs.uk/hospitals/jr/default.aspx,40913,7191212
Yokohama City University,JP,education,Yokohama,http://www.yokohama-cu.ac.jp/index-e.html,40882,3117324
Hebei University of Technology,CN,education,Tianjin,https://www.hebut.edu.cn,40866,1853153
Baylor University,US,education,Waco,https://www.baylor.edu,40825,2606615
Atatürk University,TR,education,Erzurum,https://atauni.edu.tr,40808,1407060
Korea Institute of Science and Technology,KR,facility,Seoul,https://kist.re.kr,40795,3439482
University of Concepción,CL,education,Concepción,https://www.udec.cl/pexterno/,40782,1589535
Met Office,GB,government,Exeter,http://www.metoffice.gov.uk/,40745,2464355
University of Udine,IT,education,Udine,https://www.uniud.it,40744,3816997
University of Illinois System,US,education,Urbana,https://www.uillinois.edu/,40718,1964576
Taras Shevchenko National University of Kyiv,UA,education,Kyiv,https://knu.ua,40716,576114
Xi'an University of Technology,CN,education,Xi'an,http://old.xaut.edu.cn/english/,40646,1352261
Marymount University,US,education,Arlington,https://marymount.edu,40631,1558207
Ferdowsi University of Mashhad,IR,education,Mashhad,http://en.um.ac.ir/,40609,1302205
Universidade Federal de Juiz de Fora,BR,education,Juiz de Fora,https://www2.ufjf.br/ufjf,40583,1065675
Joint Institute for Nuclear Research,RU,facility,Dubna,https://www.jinr.ru/main-en,40537,9222443
East Carolina University,US,education,Greenville,https://www.ecu.edu,40512,2055798
"Islamic Azad University, Science and Research Branch",IR,education,Tehran,http://www.srbiau.ac.ir/en,40472,957859
Institute of Physics,PL,facility,Warsaw,http://www.ifpan.edu.pl/index_en.php,40424,1717694
Ural Federal University,RU,education,Yekaterinburg,http://urfu.ru,40387,712429
St Thomas' Hospital,GB,healthcare,London,https://www.guysandstthomas.nhs.uk/patients-and-visitors/getting-here/travel-st-thomas.aspx,40355,3975908
University Hospital of Basel,CH,healthcare,Basel,https://www.unispital-basel.ch/,40300,4177057
"University of Campania ""Luigi Vanvitelli""",IT,education,Caserta,https://unina2.it,40293,3123100
Sheba Medical Center,IL,healthcare,Ramat Gan,http://eng.sheba.co.il/,40292,3912298
AT&T (United States),US,company,Bedminster,https://www.att.com/,40221,5572258
Hospices Civils de Lyon,FR,healthcare,Lyon,https://www.chu-lyon.fr,40202,2971588
Université Bourgogne Franche-Comté,FR,education,Besançon,https://www.ubfc.fr,40176,3822169
Osaka Prefecture University,JP,education,Sakai,http://www.osakafu-u.ac.jp/english/,40169,1933447
First Affiliated Hospital of Zhengzhou University,CN,healthcare,Zhengzhou,http://fcc.zzu.edu.cn/,40122,2176618
Wuhan University of Science and Technology,CN,education,Wuhan,https://www.wust.edu.cn,40100,1492936
University of the Punjab,PK,education,Lahore,https://www.pu.edu.pk,40089,1169209
University of Montana,US,education,Missoula,http://www.umt.edu/,40033,2928850
Kazan Federal University,RU,education,Kazan’,https://kpfu.ru,40016,873294
Ehime University,JP,education,Matsuyama,http://www.ehime-u.ac.jp/english/,39969,2199597
Universitas Negeri Surabaya,ID,education,Surabaya,https://www.unesa.ac.id,39930,233962
Medical University of Graz,AT,education,Graz,http://www.medunigraz.at/en/,39929,3839955
Florida Atlantic University,US,education,Boca Raton,https://www.fau.edu,39915,1653786
Marche Polytechnic University,IT,education,Ancona,https://univpm.it,39906,2617112
University of the Free State,ZA,education,Bloemfontein,https://www.ufs.ac.za,39906,944201
Taipei Medical University,TW,education,Taipei,http://www.tmu.edu.tw/english/main.php,39897,2367419
University of Salford,GB,education,Salford,https://www.salford.ac.uk,39887,1462474
University of Missouri–Kansas City,US,education,Kansas City,http://www.umkc.edu/,39875,2176143
Pontifícia Universidade Católica do Rio de Janeiro,BR,education,Rio de Janeiro,https://www.puc-rio.br,39809,906766
Shanxi University,CN,education,Taiyuan,https://www.sxu.edu.cn,39790,1803120
Shanxi Medical University,CN,education,Taiyuan,https://www.sxmu.edu.cn,39739,1323812
Novosibirsk State University,RU,education,Novosibirsk,https://www.nsu.ru/n,39628,1957058
American Museum of Natural History,US,archive,New York,http://www.amnh.org/,39627,1584964
Shanghai University of Traditional Chinese Medicine,CN,education,Shanghai,http://www.shutcm.edu.cn/web/guest/index,39626,1892786
Aligarh Muslim University,IN,education,Aligarh,http://www.amu.ac.in/,39613,1901972
Environmental Protection Agency,US,government,Washington,https://www.epa.gov,39589,4453894
"The Graduate Center, CUNY",US,education,New York,http://www.gc.cuny.edu/Home,39587,2077040
Université Joseph Fourier,FR,education,Grenoble,https://www.ujf-grenoble.fr/?language=en,39578,6025715
University of Ghana,GH,education,Accra,http://www.ug.edu.gh/,39518,1136696
"St George's, University of London",GB,education,London,https://www.sgul.ac.uk,39510,3990789
Budapest University of Technology and Economics,HU,education,Budapest,https://www.bme.hu,39490,1259295
Sichuan Agricultural University,CN,education,Ya'an,https://www.sicau.edu.cn,39443,3632104
Copiah-Lincoln Community College,US,education,Wesson,http://www.colin.edu/,39442,30705
New Mexico State University,US,education,Las Cruces,http://www.nmsu.edu/,39417,2345543
Tokyo University of Agriculture and Technology,JP,education,Tokyo,http://www.tuat.ac.jp/en/,39408,1944552
Hebei University,CN,education,Baoding,https://hbu.edu.cn,39367,1307763
NTT (Japan),JP,company,Tokyo,http://www.ntt.co.jp/index_e.html,39320,1868917
Universidad de Navarra,ES,education,Pamplona,https://www.unav.edu,39252,3257867
Isfahan University of Medical Sciences,IR,education,Isfahan,http://www.mui.ac.ir/,39194,1541314
Tecnológico de Monterrey,MX,education,Monterrey,https://tec.mx,39128,1177951
Polytechnique Montréal,CA,education,Montreal,https://polymtl.ca,39102,2053773
Institut d'Etudes Politiques de Paris,FR,facility,Paris,https://www.sciencespo.fr,39077,331881
University of Calcutta,IN,education,Kolkata,http://www.caluniv.ac.in/,38947,1151239
Mashhad University of Medical Sciences,IR,education,Mashhad,https://www.mums.ac.ir,38922,1843979
University of Silesia in Katowice,PL,education,Katowice,https://us.edu.pl/,38881,964048
Xiangya Hospital Central South University,CN,healthcare,Changsha,http://www.xiangya.com.cn/web/#,38860,3034070
University of Fribourg,CH,education,Fribourg,https://www.unifr.ch,38845,2157913
The Royal Melbourne Hospital,AU,funder,Melbourne,https://www.thermh.org.au,38808,4220841
University of Tabriz,IR,education,Tabriz,http://tabrizu.ac.ir/en,38793,1577164
Roma Tre University,IT,education,Rome,https://www.uniroma3.it,38788,2082849
Tunis El Manar University,TN,education,Tunis,http://www.utm.rnu.tn/utm/fr/,38739,910180
Innsbruck Medical University,AT,education,Innsbruck,https://www.i-med.ac.at/mypoint/,38676,4262078
National Taiwan University of Science and Technology,TW,education,Taipei,http://www.ntust.edu.tw/home.php?Lang=en,38640,1922621
Universitas Patria Artha,ID,education,Makassar,https://patria-artha.ac.id,38624,138584
Hong Kong Baptist University,HK,education,Hong Kong,https://www.hkbu.edu.hk,38618,2350787
NYU Langone Health,US,healthcare,New York,https://nyulangone.org,38566,2959686
Binghamton University,US,education,Binghamton,https://www.binghamton.edu,38544,1906588
Peoples' Friendship University of Russia,RU,education,Moscow,https://www.rudn.ru,38535,413191
University of Windsor,CA,education,Windsor,https://www.uwindsor.ca,38519,1427769
Tanta University,EG,education,Tanta,http://www.tanta.edu.eg/en/,38506,1031605
Rutherford Appleton Laboratory,GB,facility,Didcot,https://www.ukri.org/who-we-are/stfc/facilities/rutherford-appleton-laboratory/,38504,8386124
Liverpool John Moores University,GB,education,Liverpool,https://www.ljmu.ac.uk/,38488,2048786
Universidade Federal do Estado do Rio de Janeiro,BR,education,Rio de Janeiro,https://www.unirio.br,38467,432392
China Pharmaceutical University,CN,education,Nanjing,https://www.cpu.edu.cn,38466,3538015
University Hospital of Geneva,CH,healthcare,Geneva,http://www.hug-ge.ch/,38441,3874580
University of Bucharest,RO,education,Bucharest,https://unibuc.ro,38430,939960
University of Memphis,US,education,Memphis,https://www.memphis.edu,38415,1904591
Siemens (Germany),DE,company,Munich,http://www.siemens.com/entry/cc/en/,38409,1436490
University of New Brunswick,CA,education,Fredericton,https://unb.ca,38400,1902870
NSF National Center for Atmospheric Research,US,facility,Boulder,https://ncar.ucar.edu/,38349,5295978
Japan Atomic Energy Agency,JP,funder,Tōkai Mura,https://www.jaea.go.jp/english/index.html,38329,1687493
Deutsches Elektronen-Synchrotron DESY,DE,facility,Hamburg,https://desy.de,38320,9414057
Université de Tours,FR,education,Tours,https://www.univ-tours.fr,38295,2000815
University of Jordan,JO,education,Amman,http://ju.edu.jo/home.aspx,38293,1084834
University of Portsmouth,GB,education,Portsmouth,https://www.port.ac.uk,38293,2338425
Northeast Normal University,CN,education,Changchun,https://www.nenu.edu.cn,38256,2918462
Chang Gung Memorial Hospital,TW,healthcare,Taipei,https://www.cgmh.org.tw/eng/about/system/3,38254,2903593
Universitatea Națională de Știință și Tehnologie Politehnica București,RO,education,Bucharest,https://upb.ro,38161,986079
University of New Hampshire,US,education,Durham,http://www.unh.edu/,38146,2845793
St. Jude Children's Research Hospital,US,healthcare,Memphis,https://www.stjude.org/,38072,8461405
Montana State University,US,education,Bozeman,http://www.montana.edu/,38067,2921892
"Institut de Systématique, Évolution, Biodiversité",FR,facility,Paris,https://isyeb.mnhn.fr,37950,383454
Universitätsmedizin Göttingen,DE,healthcare,Göttingen,https://www.umg.eu/,37920,1793020
Academy of Scientific and Innovative Research,IN,education,Ghaziabad,http://acsir.res.in/,37902,2070136
University of Plymouth,GB,education,Plymouth,https://www.plymouth.ac.uk/,37874,2163054
Addenbrooke's Hospital,GB,healthcare,Cambridge,http://www.cuh.org.uk/addenbrookes-hospital,37861,6635998
Great Ormond Street Hospital,GB,healthcare,London,http://www.gosh.nhs.uk/,37804,3129381
Twin Cities Orthopedics,US,healthcare,Edina,https://www.tcomn.com/,37774,2281783
Moffitt Cancer Center,US,healthcare,Tampa,https://www.moffitt.org,37689,4497616
"City, University of London",GB,education,London,https://www.city.ac.uk,37596,1609776
University of Nigeria,NG,education,Nsukka,http://www.unn.edu.ng/,37583,743254
Kaohsiung Medical University,TW,education,Kaohsiung City,http://english2.kmu.edu.tw/front/bin/home.phtml,37582,2559765
Northeast Forestry University,CN,education,Harbin,https://www.nefu.edu.cn,37578,1798836
University of Limerick,IE,education,Limerick,https://www.ul.ie,37551,1520656
Fujian Agriculture and Forestry University,CN,education,Fuzhou,http://english.fafu.edu.cn/,37528,2407676
Miami University,US,education,Oxford,https://miamioh.edu,37485,1477579
Murdoch University,AU,education,Perth,https://www.murdoch.edu.au,37471,1960558
Palacký University Olomouc,CZ,education,Olomouc,https://www.upol.cz,37456,2263700
Institució Catalana de Recerca i Estudis Avançats,ES,nonprofit,Barcelona,https://www.icrea.cat,37452,2965555
Tabriz University of Medical Sciences,IR,education,Tabriz,https://www.tbzmed.ac.ir,37424,2237808
University of Massachusetts Boston,US,education,Boston,https://www.umb.edu/,37421,2058736
Universidad Rey Juan Carlos,ES,education,Madrid,https://www.urjc.es/,37416,1404383
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,DE,facility,Bremerhaven,https://www.awi.de,37397,2414458
University of Ioannina,GR,education,Ioannina,https://uoi.gr,37379,3249705
Hangzhou Dianzi University,CN,education,Hangzhou,https://www.hdu.edu.cn,37372,1237903
University of Oklahoma Health Sciences Center,US,healthcare,Oklahoma City,http://www.ouhsc.edu/,37306,3320964
Konkuk University,KR,education,Seoul,http://www.konkuk.ac.kr/do/Eng/Index.do,37304,2683347
University of Jinan,CN,education,Jinan,https://www.ujn.edu.cn,37186,2331204
Xinjiang University,CN,education,Ürümqi,https://www.xju.edu.cn,37160,1258924
Institute of Physics,CN,facility,Beijing,http://english.iop.cas.cn,37159,5098449
Aston University,GB,education,Birmingham,https://www.aston.ac.uk,37128,1810531
Colorado School of Mines,US,education,Golden,https://www.mines.edu/,37097,2006154
William & Mary,US,education,Williamsburg,https://www.wm.edu/,37065,2114579
Kitasato University,JP,education,Tokyo,http://web.med.kitasato-u.ac.jp/en/,37053,2153763
Bangor University,GB,education,Bangor,https://www.bangor.ac.uk,37044,2382596
Institut Polytechnique de Bordeaux,FR,education,Bordeaux,https://www.bordeaux-inp.fr/en,37031,1266642
Maastricht University Medical Centre,NL,funder,Maastricht,https://www.mumc.nl,37003,4180980
Khon Kaen University,TH,education,Khon Kaen,http://www.kku.ac.th/?l=en,36951,1404334
University of Minnesota Medical Center,US,healthcare,Minneapolis,http://www.uofmmedicalcenter.org/,36939,3668522
Vall d'Hebron Hospital Universitari,ES,healthcare,Barcelona,https://www.vallhebron.com,36919,2878326
Johannes Kepler University of Linz,AT,education,Linz,https://www.jku.at,36916,1609715
Johns Hopkins Hospital,US,healthcare,Baltimore,https://www.hopkinsmedicine.org/the_johns_hopkins_hospital,36850,3709893
"University of Maryland, Baltimore County",US,education,Baltimore,https://umbc.edu,36815,2146597
Tufts Medical Center,US,healthcare,Boston,https://www.tuftsmedicalcenter.org/,36807,4792103
Chungbuk National University,KR,education,Cheongju-si,http://www.cbnu.ac.kr/site/english/main.do,36791,1678804
Université Sorbonne Paris Nord,FR,education,Villetaneuse,https://www.univ-spn.fr,36790,1774670
Université de Bretagne Occidentale,FR,education,Brest,https://www.univ-brest.fr,36778,1605603
München Klinik,DE,healthcare,Munich,https://www.muenchen-klinik.de/,36749,1088250
University of Stirling,GB,education,Stirling,https://www.stir.ac.uk,36736,1892880
Selçuk University,TR,education,Konya,https://selcuk.edu.tr,36724,955930
National Laboratory of the Rockies,US,facility,Golden,https://www.nlr.gov,36702,4067868
"Merck & Co., Inc., Rahway, NJ, USA (United States)",US,company,Rahway,https://www.merck.com,36684,7605780
