authors,categories,comment,doi,entry_id,journal_ref,pdf_url,primary_category,published,summary,title,updated
"[arxiv.Result.Author('Wilson Wong'), arxiv.Result.Author('Wei Liu'), arxiv.Result.Author('Saujoe Liaw'), arxiv.Result.Author('Nicoletta Balliu'), arxiv.Result.Author('Hongwei Wu'), arxiv.Result.Author('Moses Tade')]",['cs.AI'],"In the Proceedings of the 11th Conference on Process Integration,
  Modelling and Optimisation for Energy Saving and Pollution Reduction (PRES),
  Prague, Czech Rep., August, 2008",,http://arxiv.org/abs/0812.3478v1,,http://arxiv.org/pdf/0812.3478v1,cs.AI,2008-12-18 08:58:52+00:00,"The need for domain ontologies in mission critical applications such as risk
management and hazard identification is becoming more and more pressing. Most
research on ontology learning conducted in the academia remains unrealistic for
real-world applications. One of the main problems is the dependence on
non-incremental, rare knowledge and textual resources, and manually-crafted
patterns and rules. This paper reports work in progress aiming to address such
undesirable dependencies during ontology construction. Initial experiments
using a working prototype of the system revealed promising potentials in
automatically constructing high-quality domain ontologies using real-world
texts.",Automatic Construction of Lightweight Domain Ontologies for Chemical Engineering Risk Management,2008-12-18 08:58:52+00:00
"[arxiv.Result.Author('V. Gómez'), arxiv.Result.Author('H. J. Kappen'), arxiv.Result.Author('M. Chertkov')]",['cs.AI'],"23 pages, 10 figures. Submitted to Journal of Machine Learning
  Research. Proceedings version accepted for UAI 2009",,http://arxiv.org/abs/0901.0786v3,,http://arxiv.org/pdf/0901.0786v3,cs.AI,2009-01-07 09:21:47+00:00,"We introduce novel results for approximate inference on planar graphical
models using the loop calculus framework. The loop calculus (Chertkov and
Chernyak, 2006) allows to express the exact partition function of a graphical
model as a finite sum of terms that can be evaluated once the belief
propagation (BP) solution is known. In general, full summation over all
correction terms is intractable. We develop an algorithm for the approach
presented in (Certkov et al., 2008) which represents an efficient truncation
scheme on planar graphs and a new representation of the series in terms of
Pfaffians of matrices. We analyze the performance of the algorithm for the
partition function approximation for models with binary variables and pairwise
interactions on grids and other planar graphs. We study in detail both the loop
series and the equivalent Pfaffian series and show that the first term of the
Pfaffian series for the general, intractable planar model, can provide very
accurate approximations. The algorithm outperforms previous truncation schemes
of the loop series and is competitive with other state-of-the-art methods for
approximate inference.",Approximate inference on planar graphs using Loop Calculus and Belief Propagation,2009-05-25 14:29:00+00:00
[arxiv.Result.Author('Florentin Smarandache')],"['cs.AI', 'I.2.3']","11 pages, 3 diagrams",,http://arxiv.org/abs/0901.1289v1,"In author's book A Unifying Field in Logics: Neutrosophic Logic;
  Neutrosophic Set, Neutrosophic Probability and Statistics (fourth edition),
  2005; Review of the Air Force Academy, No. 1 (14), pp. 05-11, 2009.",http://arxiv.org/pdf/0901.1289v1,cs.AI,2009-01-09 17:58:39+00:00,"In this paper we present the N-norms/N-conorms in neutrosophic logic and set
as extensions of T-norms/T-conorms in fuzzy logic and set. Also, as an
extension of the Intuitionistic Fuzzy Topology we present the Neutrosophic
Topologies.","N-norm and N-conorm in Neutrosophic Logic and Set, and the Neutrosophic Topologies",2009-01-09 17:58:39+00:00
"[arxiv.Result.Author('William Beaudoin'), arxiv.Result.Author('Sébastien Verel'), arxiv.Result.Author('Philippe Collard'), arxiv.Result.Author('Cathy Escazut')]",['cs.AI'],"Genetic And Evolutionary Computation Conference, Seatle :
  \'Etats-Unis d'Am\'erique (2006)",10.1145/1143997.1144091,http://arxiv.org/abs/0901.3769v1,,http://arxiv.org/pdf/0901.3769v1,cs.AI,2009-01-23 20:15:22+00:00,"When a considerable number of mutations have no effects on fitness values,
the fitness landscape is said neutral. In order to study the interplay between
neutrality, which exists in many real-world applications, and performances of
metaheuristics, it is useful to design landscapes which make it possible to
tune precisely neutral degree distribution. Even though many neutral landscape
models have already been designed, none of them are general enough to create
landscapes with specific neutral degree distributions. We propose three steps
to design such landscapes: first using an algorithm we construct a landscape
whose distribution roughly fits the target one, then we use a simulated
annealing heuristic to bring closer the two distributions and finally we affect
fitness values to each neutral network. Then using this new family of fitness
landscapes we are able to highlight the interplay between deceptiveness and
neutrality.",Deceptiveness and Neutrality - the ND family of fitness landscapes,2009-01-23 20:15:22+00:00
"[arxiv.Result.Author('Alexander Estacio-Moreno'), arxiv.Result.Author('Yannick Toussaint'), arxiv.Result.Author('Cédric Bousquet')]",['cs.AI'],,,http://arxiv.org/abs/0901.4004v1,Studies in health technology and informatics 136 (2008) 803-8,http://arxiv.org/pdf/0901.4004v1,cs.AI,2009-01-26 13:29:40+00:00,"The pharmacovigilance databases consist of several case reports involving
drugs and adverse events (AEs). Some methods are applied consistently to
highlight all signals, i.e. all statistically significant associations between
a drug and an AE. These methods are appropriate for verification of more
complex relationships involving one or several drug(s) and AE(s) (e.g;
syndromes or interactions) but do not address the identification of them. We
propose a method for the extraction of these relationships based on Formal
Concept Analysis (FCA) associated with disproportionality measures. This method
identifies all sets of drugs and AEs which are potential signals, syndromes or
interactions. Compared to a previous experience of disproportionality analysis
without FCA, the addition of FCA was more efficient for identifying false
positives related to concomitant drugs.",Mining for adverse drug events with formal concept analysis,2009-01-26 13:29:40+00:00
"[arxiv.Result.Author('P. Fournier-Viger'), arxiv.Result.Author('R. Nkambou'), arxiv.Result.Author('E. Mephu Nguifo')]",['cs.AI'],"Proceedings of the 7th Mexican International Conference on Artificial
  Intelligence (MICAI 2008), Springer, pp. 765-778",10.1007/978-3-540-88636-5,http://arxiv.org/abs/0901.4761v1,,http://arxiv.org/pdf/0901.4761v1,cs.AI,2009-01-29 19:58:09+00:00,"Domain experts should provide relevant domain knowledge to an Intelligent
Tutoring System (ITS) so that it can guide a learner during problemsolving
learning activities. However, for many ill-defined domains, the domain
knowledge is hard to define explicitly. In previous works, we showed how
sequential pattern mining can be used to extract a partial problem space from
logged user interactions, and how it can support tutoring services during
problem-solving exercises. This article describes an extension of this approach
to extract a problem space that is richer and more adapted for supporting
tutoring services. We combined sequential pattern mining with (1) dimensional
pattern mining (2) time intervals, (3) the automatic clustering of valued
actions and (4) closed sequences mining. Some tutoring services have been
implemented and an experiment has been conducted in a tutoring system.",A Knowledge Discovery Framework for Learning Task Models from User Interactions in Intelligent Tutoring Systems,2009-01-29 19:58:09+00:00
"[arxiv.Result.Author('Usef Faghihi'), arxiv.Result.Author('Philippe Fournier-Viger'), arxiv.Result.Author('Roger Nkambou'), arxiv.Result.Author('Pierre Poirier'), arxiv.Result.Author('Andre Mayers')]",['cs.AI'],,,http://arxiv.org/abs/0901.4963v1,,http://arxiv.org/pdf/0901.4963v1,cs.AI,2009-01-30 19:36:18+00:00,"In this paper we propose the CTS (Concious Tutoring System) technology, a
biologically plausible cognitive agent based on human brain functions.This
agent is capable of learning and remembering events and any related information
such as corresponding procedures, stimuli and their emotional valences. Our
proposed episodic memory and episodic learning mechanism are closer to the
current multiple-trace theory in neuroscience, because they are inspired by it
[5] contrary to other mechanisms that are incorporated in cognitive agents.
This is because in our model emotions play a role in the encoding and
remembering of events. This allows the agent to improve its behavior by
remembering previously selected behaviors which are influenced by its emotional
mechanism. Moreover, the architecture incorporates a realistic memory
consolidation process based on a data mining algorithm.",How Emotional Mechanism Helps Episodic Learning in a Cognitive Agent,2009-01-30 19:36:18+00:00
[arxiv.Result.Author('Ernesto Diaz-Aviles')],"['cs.AI', 'I.2.11; J.4; H.3']",,,http://arxiv.org/abs/0902.0798v1,,http://arxiv.org/pdf/0902.0798v1,cs.AI,2009-02-04 21:25:59+00:00,"Consumers of mass media must have a comprehensive, balanced and plural
selection of news to get an unbiased perspective; but achieving this goal can
be very challenging, laborious and time consuming. News stories development
over time, its (in)consistency, and different level of coverage across the
media outlets are challenges that a conscientious reader has to overcome in
order to alleviate bias.
  In this paper we present an intelligent agent framework currently
facilitating analysis of the main sources of on-line news in El Salvador. We
show how prior tools of text analysis and Web 2.0 technologies can be combined
with minimal manual intervention to help individuals on their rational decision
process, while holding media outlets accountable for their work.",Alleviating Media Bias Through Intelligent Agent Blogging,2009-02-04 21:25:59+00:00
"[arxiv.Result.Author('Régis Alenda'), arxiv.Result.Author('Nicola Olivetti'), arxiv.Result.Author('Camilla Schwind')]",['cs.AI'],25 pages,,http://arxiv.org/abs/0902.0899v1,,http://arxiv.org/pdf/0902.0899v1,cs.AI,2009-02-05 12:55:42+00:00,"We study the logic of comparative concept similarity $\CSL$ introduced by
Sheremet, Tishkovsky, Wolter and Zakharyaschev to capture a form of qualitative
similarity comparison. In this logic we can formulate assertions of the form ""
objects A are more similar to B than to C"". The semantics of this logic is
defined by structures equipped by distance functions evaluating the similarity
degree of objects. We consider here the particular case of the semantics
induced by \emph{minspaces}, the latter being distance spaces where the minimum
of a set of distances always exists. It turns out that the semantics over
arbitrary minspaces can be equivalently specified in terms of preferential
structures, typical of conditional logics. We first give a direct
axiomatisation of this logic over Minspaces. We next define a decision
procedure in the form of a tableaux calculus. Both the calculus and the
axiomatisation take advantage of the reformulation of the semantics in terms of
preferential structures.",Comparative concept similarity over Minspaces: Axiomatisation and Tableaux Calculus,2009-02-05 12:55:42+00:00
"[arxiv.Result.Author('Baptiste Jeudy'), arxiv.Result.Author('Christine Largeron'), arxiv.Result.Author('François Jacquenet')]",['cs.AI'],,,http://arxiv.org/abs/0902.1080v1,"ACM Symposium on Applied Computing, Seoul : Cor\'ee, R\'epublique
  de (2007)",http://arxiv.org/pdf/0902.1080v1,cs.AI,2009-02-06 12:50:12+00:00,"Data mining algorithms are now able to efficiently deal with huge amount of
data. Various kinds of patterns may be discovered and may have some great
impact on the general development of knowledge. In many domains, end users may
want to have their data mined by data mining tools in order to extract patterns
that could impact their business. Nevertheless, those users are often
overwhelmed by the large quantity of patterns extracted in such a situation.
Moreover, some privacy issues, or some commercial one may lead the users not to
be able to mine the data by themselves. Thus, the users may not have the
possibility to perform many experiments integrating various constraints in
order to focus on specific patterns they would like to extract. Post processing
of patterns may be an answer to that drawback. Thus, in this paper we present a
framework that could allow end users to manage collections of patterns. We
propose to use an efficient data structure on which some algebraic operators
may be used in order to retrieve or access patterns in pattern bases.",A Model for Managing Collections of Patterns,2009-02-06 12:50:12+00:00
"[arxiv.Result.Author('Kilian Weinberger'), arxiv.Result.Author('Anirban Dasgupta'), arxiv.Result.Author('Josh Attenberg'), arxiv.Result.Author('John Langford'), arxiv.Result.Author('Alex Smola')]",['cs.AI'],Fixed broken theorem,,http://arxiv.org/abs/0902.2206v5,,http://arxiv.org/pdf/0902.2206v5,cs.AI,2009-02-12 20:06:36+00:00,"Empirical evidence suggests that hashing is an effective strategy for
dimensionality reduction and practical nonparametric estimation. In this paper
we provide exponential tail bounds for feature hashing and show that the
interaction between random subspaces is negligible with high probability. We
demonstrate the feasibility of this approach with experimental results for a
new use case -- multitask learning with hundreds of thousands of tasks.",Feature Hashing for Large Scale Multitask Learning,2010-02-27 15:32:35+00:00
"[arxiv.Result.Author('Olivier Roussel'), arxiv.Result.Author('Christophe Lecoutre')]","['cs.AI', 'H.5.2']",,,http://arxiv.org/abs/0902.2362v1,,http://arxiv.org/pdf/0902.2362v1,cs.AI,2009-02-13 18:24:27+00:00,"We propose a new extended format to represent constraint networks using XML.
This format allows us to represent constraints defined either in extension or
in intension. It also allows us to reference global constraints. Any instance
of the problems CSP (Constraint Satisfaction Problem), QCSP (Quantified CSP)
and WCSP (Weighted CSP) can be represented using this format.",XML Representation of Constraint Networks: Format XCSP 2.1,2009-02-13 18:24:27+00:00
[arxiv.Result.Author('Kaninda Musumbu')],['cs.AI'],,,http://arxiv.org/abs/0902.2871v1,"ACM International conference Proceeding series, ISBN 0-9544145-6-X
  (2005) 191 - 196",http://arxiv.org/pdf/0902.2871v1,cs.AI,2009-02-17 09:08:35+00:00,"The present work consisted in developing a plateau game. There are the
traditional ones (monopoly, cluedo, ect.) but those which interest us leave
less place at the chance (luck) than to the strategy such that the chess game.
Kallah is an old African game, its rules are simple but the strategies to be
used are very complex to implement. Of course, they are based on a strongly
mathematical basis as in the film ""Rain-Man"" where one can see that gambling
can be payed with strategies based on mathematical theories. The Artificial
Intelligence gives the possibility ""of thinking"" to a machine and, therefore,
allows it to make decisions. In our work, we use it to give the means to the
computer choosing its best movement.",The Semantics of Kalah Game,2009-02-17 09:08:35+00:00
"[arxiv.Result.Author('Vit Niennattrakul'), arxiv.Result.Author('Chotirat Ann Ratanamahatana')]","['cs.AI', 'H.2.8']","The first runner up of Workshop and Challenge on Time Series
  Classification held in conjunction with SIGKDD 2007. 8 pages, 5 figures",,http://arxiv.org/abs/0903.0041v1,,http://arxiv.org/pdf/0903.0041v1,cs.AI,2009-02-28 05:46:31+00:00,"1-Nearest Neighbor with the Dynamic Time Warping (DTW) distance is one of the
most effective classifiers on time series domain. Since the global constraint
has been introduced in speech community, many global constraint models have
been proposed including Sakoe-Chiba (S-C) band, Itakura Parallelogram, and
Ratanamahatana-Keogh (R-K) band. The R-K band is a general global constraint
model that can represent any global constraints with arbitrary shape and size
effectively. However, we need a good learning algorithm to discover the most
suitable set of R-K bands, and the current R-K band learning algorithm still
suffers from an 'overfitting' phenomenon. In this paper, we propose two new
learning algorithms, i.e., band boundary extraction algorithm and iterative
learning algorithm. The band boundary extraction is calculated from the bound
of all possible warping paths in each class, and the iterative learning is
adjusted from the original R-K band learning. We also use a Silhouette index, a
well-known clustering validation technique, as a heuristic function, and the
lower bound function, LB_Keogh, to enhance the prediction speed. Twenty
datasets, from the Workshop and Challenge on Time Series Classification, held
in conjunction of the SIGKDD 2007, are used to evaluate our approach.",Learning DTW Global Constraint for Time Series Classification,2009-02-28 05:46:31+00:00
"[arxiv.Result.Author('Christian Bessiere'), arxiv.Result.Author('Emmanuel Hebrard'), arxiv.Result.Author('Brahim Hnich'), arxiv.Result.Author('Zeynep Kiziltan'), arxiv.Result.Author('Toby Walsh')]",['cs.AI'],"41 pages, 7 figures",,http://arxiv.org/abs/0903.0211v1,,http://arxiv.org/pdf/0903.0211v1,cs.AI,2009-03-02 05:58:11+00:00,"We propose Range and Roots which are two common patterns useful for
specifying a wide range of counting and occurrence constraints. We design
specialised propagation algorithms for these two patterns. Counting and
occurrence constraints specified using these patterns thus directly inherit a
propagation algorithm. To illustrate the capabilities of the Range and Roots
constraints, we specify a number of global constraints taken from the
literature. Preliminary experiments demonstrate that propagating counting and
occurrence constraints using these two patterns leads to a small loss in
performance when compared to specialised global constraints and is competitive
with alternative decompositions using elementary constraints.",Range and Roots: Two Common Patterns for Specifying and Propagating Counting and Occurrence Constraints,2009-03-02 05:58:11+00:00
"[arxiv.Result.Author('Jean Dezert'), arxiv.Result.Author('Florentin Smarandache')]",['cs.AI'],,,http://arxiv.org/abs/0903.0279v1,,http://arxiv.org/pdf/0903.0279v1,cs.AI,2009-03-02 12:31:00+00:00,"The management and combination of uncertain, imprecise, fuzzy and even
paradoxical or high conflicting sources of information has always been, and
still remains today, of primal importance for the development of reliable
modern information systems involving artificial reasoning. In this
introduction, we present a survey of our recent theory of plausible and
paradoxical reasoning, known as Dezert-Smarandache Theory (DSmT), developed for
dealing with imprecise, uncertain and conflicting sources of information. We
focus our presentation on the foundations of DSmT and on its most important
rules of combination, rather than on browsing specific applications of DSmT
available in literature. Several simple examples are given throughout this
presentation to show the efficiency and the generality of this new approach.",An introduction to DSmT,2009-03-02 12:31:00+00:00
"[arxiv.Result.Author('Marvin Schiller'), arxiv.Result.Author('Christoph Benzmueller')]","['cs.AI', 'K.3.1; I.2.3; I.2.6']","Extended Version. This SEKI Working-Paper refines and extends the
  following publication: Granularity-Adaptive Proof Presentation. Proceedings
  of the 14th International Conference on Artificial Intelligence in Education;
  Brighton, UK, 2009. Submitted",,http://arxiv.org/abs/0903.0314v4,,http://arxiv.org/pdf/0903.0314v4,cs.AI,2009-03-02 15:52:15+00:00,"When mathematicians present proofs they usually adapt their explanations to
their didactic goals and to the (assumed) knowledge of their addressees. Modern
automated theorem provers, in contrast, present proofs usually at a fixed level
of detail (also called granularity). Often these presentations are neither
intended nor suitable for human use. A challenge therefore is to develop user-
and goal-adaptive proof presentation techniques that obey common mathematical
practice. We present a flexible and adaptive approach to proof presentation
that exploits machine learning techniques to extract a model of the specific
granularity of proof examples and employs this model for the automated
generation of further proofs at an adapted level of granularity.",Granularity-Adaptive Proof Presentation,2009-05-25 21:27:30+00:00
[arxiv.Result.Author('Toby Walsh')],"['cs.AI', 'I.2.4']","Proceedings of the Twenty-Third AAAI Conference on Artificial
  Intelligence",,http://arxiv.org/abs/0903.0465v1,AAAI 2008: 1585-1588,http://arxiv.org/pdf/0903.0465v1,cs.AI,2009-03-03 08:36:47+00:00,"Symmetry is an important factor in solving many constraint satisfaction
problems. One common type of symmetry is when we have symmetric values. In a
recent series of papers, we have studied methods to break value symmetries. Our
results identify computational limits on eliminating value symmetry. For
instance, we prove that pruning all symmetric values is NP-hard in general.
Nevertheless, experiments show that much value symmetry can be broken in
practice. These results may be useful to researchers in planning, scheduling
and other areas as value symmetry occurs in many different domains.",Breaking Value Symmetry,2009-03-03 08:36:47+00:00
"[arxiv.Result.Author('George Katsirelos'), arxiv.Result.Author('Nina Narodytska'), arxiv.Result.Author('Toby Walsh')]",['cs.AI'],"15 pages, 4 figures",,http://arxiv.org/abs/0903.0475v1,,http://arxiv.org/pdf/0903.0475v1,cs.AI,2009-03-03 09:31:41+00:00,"An attractive mechanism to specify global constraints in rostering and other
domains is via formal languages. For instance, the Regular and Grammar
constraints specify constraints in terms of the languages accepted by an
automaton and a context-free grammar respectively. Taking advantage of the
fixed length of the constraint, we give an algorithm to transform a
context-free grammar into an automaton. We then study the use of minimization
techniques to reduce the size of such automata and speed up propagation. We
show that minimizing such automata after they have been unfolded and domains
initially reduced can give automata that are more compact than minimizing
before unfolding and reducing. Experimental results show that such
transformations can improve the size of rostering problems that we can 'model
and run'.",Reformulating Global Grammar Constraints,2009-03-03 09:31:41+00:00
"[arxiv.Result.Author('George Katsirelos'), arxiv.Result.Author('Nina Narodytska'), arxiv.Result.Author('Toby Walsh')]",['cs.AI'],"15 pages, 4 figures",,http://arxiv.org/abs/0903.0479v1,,http://arxiv.org/pdf/0903.0479v1,cs.AI,2009-03-03 09:52:01+00:00,"We propose a new family of constraints which combine together lexicographical
ordering constraints for symmetry breaking with other common global
constraints. We give a general purpose propagator for this family of
constraints, and show how to improve its complexity by exploiting properties of
the included global constraints.",Combining Symmetry Breaking and Global Constraints,2009-03-03 09:52:01+00:00
"[arxiv.Result.Author('Shai Haim'), arxiv.Result.Author('Toby Walsh')]",['cs.AI'],"6 pages, 3 figures. Proc. of the 11th International Conf. on Theory
  and Applications of Satisfiability Testing, Guangzhou, China, May 2008",,http://arxiv.org/abs/0903.0695v1,,http://arxiv.org/pdf/0903.0695v1,cs.AI,2009-03-04 04:56:07+00:00,"We present an online method for estimating the cost of solving SAT problems.
Modern SAT solvers present several challenges to estimate search cost including
non-chronological backtracking, learning and restarts. Our method uses a linear
model trained on data gathered at the start of search. We show the
effectiveness of this method using random and structured problems. We
demonstrate that predictions made in early restarts can be used to improve
later predictions. We also show that we can use such cost estimations to select
a solver from a portfolio.",Online Estimation of SAT Solving Runtime,2009-03-04 04:56:07+00:00
[arxiv.Result.Author('Carlos Loria-Saenz')],['cs.AI'],ii + 31 pages,,http://arxiv.org/abs/0903.0786v2,,http://arxiv.org/pdf/0903.0786v2,cs.AI,2009-03-04 15:29:42+00:00,"In this work, we deal with the question of modeling programming exercises for
novices pointing to an e-learning scenario. Our purpose is to identify basic
requirements, raise some key questions and propose potential answers from a
conceptual perspective. Presented as a general picture, we hypothetically
situate our work in a general context where e-learning instructional material
needs to be adapted to form part of an introductory Computer Science (CS)
e-learning course at the CS1-level. Meant is a potential course which aims at
improving novices skills and knowledge on the essentials of programming by
using e-learning based approaches in connection (at least conceptually) with a
general host framework like Activemath (www.activemath.org). Our elaboration
covers contextual and, particularly, cognitive elements preparing the terrain
for eventual research stages in a derived project, as indicated. We concentrate
our main efforts on reasoning mechanisms about exercise complexity that can
eventually offer tool support for the task of exercise authoring. We base our
requirements analysis on our own perception of the exercise subsystem provided
by Activemath especially within the domain reasoner area. We enrich the
analysis by bringing to the discussion several relevant contextual elements
from the CS1 courses, its definition and implementation. Concerning cognitive
models and exercises, we build upon the principles of Bloom's Taxonomy as a
relatively standardized basis and use them as a framework for study and
analysis of complexity in basic programming exercises. Our analysis includes
requirements for the domain reasoner which are necessary for the exercise
analysis. We propose for such a purpose a three-layered conceptual model
considering exercise evaluation, programming and metaprogramming.",On Requirements for Programming Exercises from an E-learning Perspective,2009-03-13 18:50:57+00:00
"[arxiv.Result.Author('Marko Horvat'), arxiv.Result.Author('Sinisa Popovic'), arxiv.Result.Author('Nikola Bogunovic'), arxiv.Result.Author('Kresimir Cosic')]",['cs.AI'],"7 pages, 7 figures, 1 table, submitted for publication (MIPRO 2009)",,http://arxiv.org/abs/0903.0829v1,,http://arxiv.org/pdf/0903.0829v1,cs.AI,2009-03-04 18:13:41+00:00,"Successful management of emotional stimuli is a pivotal issue concerning
Affective Computing (AC) and the related research. As a subfield of Artificial
Intelligence, AC is concerned not only with the design of computer systems and
the accompanying hardware that can recognize, interpret, and process human
emotions, but also with the development of systems that can trigger human
emotional response in an ordered and controlled manner. This requires the
maximum attainable precision and efficiency in the extraction of data from
emotionally annotated databases While these databases do use keywords or tags
for description of the semantic content, they do not provide either the
necessary flexibility or leverage needed to efficiently extract the pertinent
emotional content. Therefore, to this extent we propose an introduction of
ontologies as a new paradigm for description of emotionally annotated data. The
ability to select and sequence data based on their semantic attributes is vital
for any study involving metadata, semantics and ontological sorting like the
Semantic Web or the Social Semantic Desktop, and the approach described in the
paper facilitates reuse in these areas as well.",Tagging multimedia stimuli with ontologies,2009-03-04 18:13:41+00:00
"[arxiv.Result.Author('S. Armagan Tarim'), arxiv.Result.Author('Suresh Manandhar'), arxiv.Result.Author('Toby Walsh')]","['cs.AI', 'I.2.4']",,10.1007/s10601-006-6849-7,http://arxiv.org/abs/0903.1150v1,Constraints 11(1): 53-80 (2006),http://arxiv.org/pdf/0903.1150v1,cs.AI,2009-03-06 04:12:20+00:00,"To model combinatorial decision problems involving uncertainty and
probability, we introduce scenario based stochastic constraint programming.
Stochastic constraint programs contain both decision variables, which we can
set, and stochastic variables, which follow a discrete probability
distribution. We provide a semantics for stochastic constraint programs based
on scenario trees. Using this semantics, we can compile stochastic constraint
programs down into conventional (non-stochastic) constraint programs. This
allows us to exploit the full power of existing constraint solvers. We have
implemented this framework for decision making under uncertainty in stochastic
OPL, a language which is based on the OPL constraint modelling language
[Hentenryck et al., 1999]. To illustrate the potential of this framework, we
model a wide range of problems in areas as diverse as portfolio
diversification, agricultural planning and production/inventory management.",Stochastic Constraint Programming: A Scenario-Based Approach,2009-03-06 04:12:20+00:00
[arxiv.Result.Author('Toby Walsh')],"['cs.AI', 'I.2.4']","Proceedings of the 15th Eureopean Conference on Artificial
  Intelligence",,http://arxiv.org/abs/0903.1152v1,ECAI 2002: 111-115,http://arxiv.org/pdf/0903.1152v1,cs.AI,2009-03-06 04:20:41+00:00,"To model combinatorial decision problems involving uncertainty and
probability, we introduce stochastic constraint programming. Stochastic
constraint programs contain both decision variables (which we can set) and
stochastic variables (which follow a probability distribution). They combine
together the best features of traditional constraint satisfaction, stochastic
integer programming, and stochastic satisfiability. We give a semantics for
stochastic constraint programs, and propose a number of complete algorithms and
approximation procedures. Finally, we discuss a number of extensions of
stochastic constraint programming to relax various assumptions like the
independence between stochastic variables, and compare with other approaches
for decision making under uncertainty.",Stochastic Constraint Programming,2009-03-06 04:20:41+00:00
"[arxiv.Result.Author('Martin Homik'), arxiv.Result.Author('Andreas Meier')]",['cs.AI'],,,http://arxiv.org/abs/0903.3926v1,,http://arxiv.org/pdf/0903.3926v1,cs.AI,2009-03-23 18:38:01+00:00,"Often user interfaces of theorem proving systems focus on assisting
particularly trained and skilled users, i.e., proof experts. As a result, the
systems are difficult to use for non-expert users. This paper describes a paper
and pencil HCI experiment, in which (non-expert) students were asked to make
suggestions for a GUI for an interactive system for mathematical proofs. They
had to explain the usage of the GUI by applying it to construct a proof sketch
for a given theorem. The evaluation of the experiment provides insights for the
interaction design for non-expert users and the needs and wants of this user
group.",Designing a GUI for Proofs - Evaluation of an HCI Experiment,2009-03-23 18:38:01+00:00
[arxiv.Result.Author('Knud Thomsen')],"['cs.AI', 'B.2.0; C.1.3']","6 pages, 4 figures",,http://arxiv.org/abs/0903.5054v1,,http://arxiv.org/pdf/0903.5054v1,cs.AI,2009-03-29 15:29:17+00:00,"The Ouroboros Model is a new conceptual proposal for an algorithmic structure
for efficient data processing in living beings as well as for artificial
agents. Its central feature is a general repetitive loop where one iteration
cycle sets the stage for the next. Sensory input activates data structures
(schemata) with similar constituents encountered before, thus expectations are
kindled. This corresponds to the highlighting of empty slots in the selected
schema, and these expectations are compared with the actually encountered
input. Depending on the outcome of this consumption analysis different next
steps like search for further data or a reset, i.e. a new attempt employing
another schema, are triggered. Monitoring of the whole process, and in
particular of the flow of activation directed by the consumption analysis,
yields valuable feedback for the optimum allocation of attention and resources
including the selective establishment of useful new memory entries.",Flow of Activity in the Ouroboros Model,2009-03-29 15:29:17+00:00
"[arxiv.Result.Author('Vincent Rialle'), arxiv.Result.Author('Annick Vila'), arxiv.Result.Author('Yves Besnard')]",['cs.AI'],,,http://arxiv.org/abs/0903.5289v1,"Artificial Intelligence in Medicine 3, 2 (1991) 65-74",http://arxiv.org/pdf/0903.5289v1,cs.AI,2009-03-30 19:08:10+00:00,"In a certain number of situations, human cognitive functioning is difficult
to represent with classical artificial intelligence structures. Such a
difficulty arises in the polyneuropathy diagnosis which is based on the spatial
distribution, along the nerve fibres, of lesions, together with the synthesis
of several partial diagnoses. Faced with this problem while building up an
expert system (NEUROP), we developed a heterogeneous knowledge representation
associating a finite automaton with first order logic. A number of knowledge
representation problems raised by the electromyography test features are
examined in this study and the expert system architecture allowing such a
knowledge modeling are laid out.",Heterogeneous knowledge representation using a finite automaton and first order logic: a case study in electromyography,2009-03-30 19:08:10+00:00
"[arxiv.Result.Author('Youssef Hamadi'), arxiv.Result.Author('Said Jabbour'), arxiv.Result.Author('Lakhdar Sais')]",['cs.AI'],,,http://arxiv.org/abs/0904.0029v1,,http://arxiv.org/pdf/0904.0029v1,cs.AI,2009-03-31 23:14:05+00:00,"In this paper a new dynamic subsumption technique for Boolean CNF formulae is
proposed. It exploits simple and sufficient conditions to detect during
conflict analysis, clauses from the original formula that can be reduced by
subsumption. During the learnt clause derivation, and at each step of the
resolution process, we simply check for backward subsumption between the
current resolvent and clauses from the original formula and encoded in the
implication graph. Our approach give rise to a strong and dynamic
simplification technique that exploits learning to eliminate literals from the
original clauses. Experimental results show that the integration of our dynamic
subsumption approach within the state-of-the-art SAT solvers Minisat and Rsat
achieves interesting improvements particularly on crafted instances.",Learning for Dynamic subsumption,2009-03-31 23:14:05+00:00
[arxiv.Result.Author('Elena S. Vishnevksaya')],['cs.AI'],This paper has been withdrawn by the author,,http://arxiv.org/abs/0904.2827v5,,http://arxiv.org/pdf/0904.2827v5,cs.AI,2009-04-18 10:49:05+00:00,"Today, science have a powerful tool for the description of reality - the
numbers. However, the concept of number was not immediately, lets try to trace
the evolution of the concept. The numbers emerged as the need for accurate
estimates of the amount in order to permit a comparison of some objects. So if
you see to it how many times a day a person uses the numbers and compare, it
becomes evident that the comparison is used much more frequently. However, the
comparison is not possible without two opposite basic standards. Thus, to
introduce the concept of comparison, must have two opposing standards, in turn,
the operation of comparison is necessary to introduce the concept of number.
Arguably, the scientific description of reality is impossible without the
concept of opposites.
  In this paper analyzes the concept of opposites, as the basis for the
introduction of the principle of development.",Principle of development,2011-10-13 08:13:19+00:00
