funding_id,funding_title,funding_agency,funding_type,research_domain,keywords,eligibility,funding_amount,currency,application_deadline,duration,country,description,application_url,status,created_at
US-NIH-2026-30686,Development of Representation Learning in Modern Industry,National Institutes of Health,Fellowship,Deep Learning,"deep learning, nih, autoencoders, attention mechanisms, transformers",Consortia of higher education institutions and private industry partners.,890000.0,USD,2027-04-30,36 months,US,"This program supports development of research into representation learning in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Deep Learning.",https://www.nih.gov/funding/grants/us-nih-2026-30686,OPEN,2026-02-10
GB-UKRI-2026-46935,Development of Convolutional Networks for Next-Generation Infrastructures,UK Research and Innovation,Award,Deep Learning,"deep learning, ukri, representation learning, transformers, convolutional networks","Academic institutions, non-profit research organizations, and small businesses.",855000.0,GBP,2026-08-15,48 months,GB,"This program supports development of research into convolutional networks for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Deep Learning.",https://www.ukri.gov/funding/grants/gb-ukri-2026-46935,OPEN,2026-04-09
EU-ERC-2026-21662,Strategic Innovation in Transformers in Resource-Constrained Environments,European Research Council,Grant,Deep Learning,"deep learning, erc, representation learning, autoencoders, backpropagation","Ph.D. holders, early-career researchers, and university research groups.",151000.0,EUR,2026-08-08,48 months,EU,"This program supports strategic innovation in research into transformers in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Deep Learning.",https://www.erc.gov/funding/grants/eu-erc-2026-21662,OPEN,2026-01-14
GB-UKRI-2026-32298,Engineering Next-Generation Convolutional Networks for Sustainable Development,UK Research and Innovation,Fellowship,Deep Learning,"deep learning, ukri, attention mechanisms, autoencoders, convolutional networks","Ph.D. holders, early-career researchers, and university research groups.",1633000.0,GBP,2026-12-22,48 months,GB,"This program supports engineering next-generation research into convolutional networks for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Deep Learning.",https://www.ukri.gov/funding/grants/gb-ukri-2026-32298,OPEN,2026-02-28
EU-ERC-2026-44891,Analyzing Feature Engineering using Predictive Analytics,European Research Council,Cooperative Agreement,Data Science,"data science, erc, statistical inference, data visualization, predictive analytics","Ph.D. holders, early-career researchers, and university research groups.",933000.0,EUR,2026-07-19,24 months,EU,"This program supports analyzing research into feature engineering using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Data Science.",https://www.erc.gov/funding/grants/eu-erc-2026-44891,OPEN,2026-04-06
US-DOE-2026-63546,Collaborative Research on Big Data in Resource-Constrained Environments,Department of Energy,Grant,Data Science,"data science, doe, data visualization, predictive analytics, data cleaning","Academic institutions, non-profit research organizations, and small businesses.",1315000.0,USD,2026-09-11,48 months,US,"This program supports collaborative research on research into big data in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Data Science.",https://www.doe.gov/funding/grants/us-doe-2026-63546,OPEN,2026-05-06
AU-ARC-2026-27459,Advancements in Feature Engineering for Next-Generation Infrastructures,Australian Research Council,Grant,Data Science,"data science, arc, feature engineering, data cleaning, predictive analytics","Academic institutions, non-profit research organizations, and small businesses.",1510000.0,AUD,2026-08-30,48 months,AU,"This program supports advancements in research into feature engineering for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-27459,OPEN,2026-01-18
JP-JSPS-2026-17700,Research on Predictive Analytics to Improve Social Well-being,Japan Society for the Promotion of Science,Award,Data Science,"data science, jsps, feature engineering, big data, statistical inference",Consortia of higher education institutions and private industry partners.,1291000.0,JPY,2026-11-11,60 months,JP,"This program supports research on research into predictive analytics to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Data Science.",https://www.jsps.gov/funding/grants/jp-jsps-2026-17700,OPEN,2026-03-14
CA-CIHR-2026-49650,Novel Approaches to Feature Engineering with Adaptive Feedback,Canadian Institutes of Health Research,Cooperative Agreement,Data Science,"data science, cihr, data visualization, predictive analytics, feature engineering",Open to all international organizations and researchers.,134000.0,CAD,2027-02-24,60 months,CA,"This program supports novel approaches to research into feature engineering with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Data Science.",https://www.cihr.gov/funding/grants/ca-cihr-2026-49650,OPEN,2026-06-09
GB-UKRI-2026-71352,Collaborative Research on Big Data with Adaptive Feedback,UK Research and Innovation,Cooperative Agreement,Data Science,"data science, ukri, big data, predictive analytics, feature engineering","Ph.D. holders, early-career researchers, and university research groups.",340000.0,GBP,2026-12-21,36 months,GB,"This program supports collaborative research on research into big data with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Data Science.",https://www.ukri.gov/funding/grants/gb-ukri-2026-71352,OPEN,2026-02-27
EU-HEU-2026-57263,Novel Approaches to Predictive Analytics in Resource-Constrained Environments,Horizon Europe,Contract,Data Science,"data science, heu, statistical inference, predictive analytics, data cleaning","Ph.D. holders, early-career researchers, and university research groups.",1609000.0,EUR,2027-07-12,36 months,EU,"This program supports novel approaches to research into predictive analytics in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Data Science.",https://www.heu.gov/funding/grants/eu-heu-2026-57263,OPEN,2026-02-06
AU-ARC-2026-29826,Foundational Studies in Feature Engineering using Predictive Analytics,Australian Research Council,Contract,Data Science,"data science, arc, data visualization, feature engineering, big data","Individual researchers, scientists, and postdoctoral fellows.",354000.0,AUD,2026-08-18,12 months,AU,"This program supports foundational studies in research into feature engineering using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-29826,OPEN,2026-06-29
US-DOE-2026-71228,Novel Approaches to Big Data using Predictive Analytics,Department of Energy,Fellowship,Data Science,"data science, doe, data cleaning, feature engineering, statistical inference","Academic institutions, non-profit research organizations, and small businesses.",780000.0,USD,2026-12-26,60 months,US,"This program supports novel approaches to research into big data using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Data Science.",https://www.doe.gov/funding/grants/us-doe-2026-71228,OPEN,2026-07-02
US-NIH-2026-55823,Investigation of Data Visualization in Resource-Constrained Environments,National Institutes of Health,Grant,Data Science,"data science, nih, predictive analytics, statistical inference, data visualization",Open to all international organizations and researchers.,1585000.0,USD,2026-08-08,60 months,US,"This program supports investigation of research into data visualization in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Data Science.",https://www.nih.gov/funding/grants/us-nih-2026-55823,OPEN,2026-05-27
JP-JSPS-2026-84814,Collaborative Research on Data Cleaning using High-Performance Computing,Japan Society for the Promotion of Science,Cooperative Agreement,Data Science,"data science, jsps, predictive analytics, big data, feature engineering","Academic institutions, non-profit research organizations, and small businesses.",1070000.0,JPY,2027-06-11,12 months,JP,"This program supports collaborative research on research into data cleaning using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Data Science.",https://www.jsps.gov/funding/grants/jp-jsps-2026-84814,OPEN,2026-05-10
GB-UKRI-2026-87376,Investigation of Predictive Analytics in Modern Industry,UK Research and Innovation,Grant,Data Science,"data science, ukri, data cleaning, predictive analytics, big data",Consortia of higher education institutions and private industry partners.,1751000.0,GBP,2026-06-24,48 months,GB,"This program supports investigation of research into predictive analytics in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Data Science.",https://www.ukri.gov/funding/grants/gb-ukri-2026-87376,ARCHIVED,2026-07-05
AU-ARC-2026-52587,Engineering Next-Generation Data Visualization to Improve Social Well-being,Australian Research Council,Award,Data Science,"data science, arc, predictive analytics, big data, statistical inference",Open to all international organizations and researchers.,1368000.0,AUD,2027-06-28,36 months,AU,"This program supports engineering next-generation research into data visualization to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-52587,OPEN,2026-06-30
CA-CIHR-2026-22130,Novel Approaches to Predictive Analytics in Modern Industry,Canadian Institutes of Health Research,Cooperative Agreement,Data Science,"data science, cihr, big data, feature engineering, data visualization","Ph.D. holders, early-career researchers, and university research groups.",1822000.0,CAD,2027-06-12,48 months,CA,"This program supports novel approaches to research into predictive analytics in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Data Science.",https://www.cihr.gov/funding/grants/ca-cihr-2026-22130,OPEN,2026-05-12
CA-CIHR-2026-47347,Collaborative Research on Big Data in Resource-Constrained Environments,Canadian Institutes of Health Research,Grant,Data Science,"data science, cihr, feature engineering, statistical inference, data visualization",Consortia of higher education institutions and private industry partners.,935000.0,CAD,2027-06-28,36 months,CA,"This program supports collaborative research on research into big data in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Data Science.",https://www.cihr.gov/funding/grants/ca-cihr-2026-47347,OPEN,2026-03-09
GB-UKRI-2026-77194,Development of Data Cleaning using Predictive Analytics,UK Research and Innovation,Contract,Data Science,"data science, ukri, statistical inference, data cleaning, big data","Individual researchers, scientists, and postdoctoral fellows.",599000.0,GBP,2027-01-12,60 months,GB,"This program supports development of research into data cleaning using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Data Science.",https://www.ukri.gov/funding/grants/gb-ukri-2026-77194,OPEN,2026-04-04
US-DOE-2026-66899,Novel Approaches to Big Data for Sustainable Development,Department of Energy,Award,Data Science,"data science, doe, feature engineering, data visualization, data cleaning",Open to all international organizations and researchers.,999000.0,USD,2026-11-04,24 months,US,"This program supports novel approaches to research into big data for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Data Science.",https://www.doe.gov/funding/grants/us-doe-2026-66899,OPEN,2026-03-03
US-NIH-2026-48103,Strategic Innovation in Data Cleaning using High-Performance Computing,National Institutes of Health,Cooperative Agreement,Data Science,"data science, nih, feature engineering, predictive analytics, data visualization",Open to all international organizations and researchers.,354000.0,USD,2026-10-14,24 months,US,"This program supports strategic innovation in research into data cleaning using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Data Science.",https://www.nih.gov/funding/grants/us-nih-2026-48103,OPEN,2026-03-12
EU-HEU-2026-84519,Research on Statistical Inference using High-Performance Computing,Horizon Europe,Award,Data Science,"data science, heu, data cleaning, feature engineering, big data","Individual researchers, scientists, and postdoctoral fellows.",270000.0,EUR,2027-01-31,60 months,EU,"This program supports research on research into statistical inference using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Data Science.",https://www.heu.gov/funding/grants/eu-heu-2026-84519,OPEN,2026-07-01
EU-HEU-2026-56590,Analyzing Statistical Inference using High-Performance Computing,Horizon Europe,Grant,Data Science,"data science, heu, data visualization, feature engineering, data cleaning","Academic institutions, non-profit research organizations, and small businesses.",1566000.0,EUR,2026-05-22,48 months,EU,"This program supports analyzing research into statistical inference using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Data Science.",https://www.heu.gov/funding/grants/eu-heu-2026-56590,CLOSED,2026-03-06
CA-CIHR-2026-49013,Advancements in Statistical Inference using Predictive Analytics,Canadian Institutes of Health Research,Grant,Data Science,"data science, cihr, predictive analytics, data visualization, statistical inference","Ph.D. holders, early-career researchers, and university research groups.",1327000.0,CAD,2026-12-30,36 months,CA,"This program supports advancements in research into statistical inference using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Data Science.",https://www.cihr.gov/funding/grants/ca-cihr-2026-49013,OPEN,2026-01-22
EU-HEU-2026-98265,Investigation of Data Cleaning in High-Risk Environments,Horizon Europe,Award,Data Science,"data science, heu, data visualization, data cleaning, statistical inference","Individual researchers, scientists, and postdoctoral fellows.",288000.0,EUR,2026-05-16,12 months,EU,"This program supports investigation of research into data cleaning in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Data Science.",https://www.heu.gov/funding/grants/eu-heu-2026-98265,ARCHIVED,2026-07-08
AU-ARC-2026-49688,Engineering Next-Generation Statistical Inference with Adaptive Feedback,Australian Research Council,Grant,Data Science,"data science, arc, predictive analytics, big data, data visualization","Ph.D. holders, early-career researchers, and university research groups.",1463000.0,AUD,2027-04-23,48 months,AU,"This program supports engineering next-generation research into statistical inference with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-49688,OPEN,2026-01-17
EU-ERC-2026-24668,Research on Feature Engineering to Improve Social Well-being,European Research Council,Fellowship,Data Science,"data science, erc, feature engineering, data visualization, data cleaning",Open to all international organizations and researchers.,1035000.0,EUR,2026-08-29,24 months,EU,"This program supports research on research into feature engineering to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Data Science.",https://www.erc.gov/funding/grants/eu-erc-2026-24668,OPEN,2026-07-06
US-NIH-2026-49441,Strategic Innovation in Data Visualization using Predictive Analytics,National Institutes of Health,Grant,Data Science,"data science, nih, feature engineering, data cleaning, statistical inference","Individual researchers, scientists, and postdoctoral fellows.",390000.0,USD,2026-05-25,24 months,US,"This program supports strategic innovation in research into data visualization using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Data Science.",https://www.nih.gov/funding/grants/us-nih-2026-49441,CLOSED,2026-03-26
AU-ARC-2026-86706,Development of Data Visualization in Resource-Constrained Environments,Australian Research Council,Cooperative Agreement,Data Science,"data science, arc, big data, predictive analytics, feature engineering","Academic institutions, non-profit research organizations, and small businesses.",1757000.0,AUD,2027-07-12,48 months,AU,"This program supports development of research into data visualization in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-86706,OPEN,2026-02-17
CA-CIHR-2026-74972,Engineering Next-Generation Statistical Inference in High-Risk Environments,Canadian Institutes of Health Research,Grant,Data Science,"data science, cihr, statistical inference, feature engineering, data cleaning","Ph.D. holders, early-career researchers, and university research groups.",868000.0,CAD,2026-06-01,48 months,CA,"This program supports engineering next-generation research into statistical inference in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Data Science.",https://www.cihr.gov/funding/grants/ca-cihr-2026-74972,ARCHIVED,2026-04-29
JP-JSPS-2026-12492,Novel Approaches to Statistical Inference with Adaptive Feedback,Japan Society for the Promotion of Science,Contract,Data Science,"data science, jsps, data cleaning, big data, feature engineering",Open to all international organizations and researchers.,1878000.0,JPY,2026-06-15,48 months,JP,"This program supports novel approaches to research into statistical inference with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Data Science.",https://www.jsps.gov/funding/grants/jp-jsps-2026-12492,ARCHIVED,2026-02-21
AU-ARC-2026-67177,Research on Data Visualization in Resource-Constrained Environments,Australian Research Council,Contract,Data Science,"data science, arc, data visualization, statistical inference, feature engineering",Open to all international organizations and researchers.,754000.0,AUD,2027-01-09,48 months,AU,"This program supports research on research into data visualization in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-67177,OPEN,2026-05-24
AU-ARC-2026-27191,Analyzing Feature Engineering for Next-Generation Infrastructures,Australian Research Council,Grant,Data Science,"data science, arc, data cleaning, data visualization, statistical inference",Consortia of higher education institutions and private industry partners.,1386000.0,AUD,2027-04-23,36 months,AU,"This program supports analyzing research into feature engineering for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-27191,OPEN,2026-03-28
AU-ARC-2026-26920,Collaborative Research on Data Visualization in Modern Industry,Australian Research Council,Award,Data Science,"data science, arc, data cleaning, predictive analytics, data visualization","Ph.D. holders, early-career researchers, and university research groups.",256000.0,AUD,2027-01-20,48 months,AU,"This program supports collaborative research on research into data visualization in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-26920,OPEN,2026-02-07
US-NSF-2026-12376,Advancements in Predictive Analytics with Adaptive Feedback,National Science Foundation,Grant,Data Science,"data science, nsf, big data, feature engineering, predictive analytics","Individual researchers, scientists, and postdoctoral fellows.",407000.0,USD,2026-08-03,60 months,US,"This program supports advancements in research into predictive analytics with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Data Science.",https://www.nsf.gov/funding/grants/us-nsf-2026-12376,OPEN,2026-01-20
EU-ERC-2026-25818,Foundational Studies in Data Visualization using Predictive Analytics,European Research Council,Award,Data Science,"data science, erc, big data, statistical inference, predictive analytics","Ph.D. holders, early-career researchers, and university research groups.",1657000.0,EUR,2026-11-04,36 months,EU,"This program supports foundational studies in research into data visualization using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Data Science.",https://www.erc.gov/funding/grants/eu-erc-2026-25818,OPEN,2026-05-07
US-NIH-2026-16608,Strategic Innovation in Data Cleaning using High-Performance Computing,National Institutes of Health,Grant,Data Science,"data science, nih, big data, statistical inference, feature engineering",Open to all international organizations and researchers.,1300000.0,USD,2027-06-18,60 months,US,"This program supports strategic innovation in research into data cleaning using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Data Science.",https://www.nih.gov/funding/grants/us-nih-2026-16608,OPEN,2026-06-15
US-DOE-2026-92565,Investigation of Data Visualization with Adaptive Feedback,Department of Energy,Contract,Data Science,"data science, doe, statistical inference, data cleaning, big data","Ph.D. holders, early-career researchers, and university research groups.",648000.0,USD,2027-05-21,48 months,US,"This program supports investigation of research into data visualization with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Data Science.",https://www.doe.gov/funding/grants/us-doe-2026-92565,OPEN,2026-06-02
GB-UKRI-2026-28058,Investigation of Data Visualization using Predictive Analytics,UK Research and Innovation,Award,Data Science,"data science, ukri, data visualization, data cleaning, predictive analytics",Consortia of higher education institutions and private industry partners.,1624000.0,GBP,2027-06-11,12 months,GB,"This program supports investigation of research into data visualization using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Data Science.",https://www.ukri.gov/funding/grants/gb-ukri-2026-28058,OPEN,2026-03-28
US-DOE-2026-21171,Analyzing Predictive Analytics for Next-Generation Infrastructures,Department of Energy,Fellowship,Data Science,"data science, doe, data visualization, statistical inference, data cleaning","Ph.D. holders, early-career researchers, and university research groups.",1411000.0,USD,2027-04-01,24 months,US,"This program supports analyzing research into predictive analytics for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Data Science.",https://www.doe.gov/funding/grants/us-doe-2026-21171,OPEN,2026-04-11
CA-CIHR-2026-64186,Novel Approaches to Data Cleaning in High-Risk Environments,Canadian Institutes of Health Research,Grant,Data Science,"data science, cihr, data cleaning, data visualization, big data",Open to all international organizations and researchers.,1982000.0,CAD,2026-11-15,12 months,CA,"This program supports novel approaches to research into data cleaning in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Data Science.",https://www.cihr.gov/funding/grants/ca-cihr-2026-64186,OPEN,2026-01-19
US-NIH-2026-54342,Advancements in Data Cleaning in Modern Industry,National Institutes of Health,Contract,Data Science,"data science, nih, feature engineering, data visualization, big data",Open to all international organizations and researchers.,1604000.0,USD,2026-06-14,12 months,US,"This program supports advancements in research into data cleaning in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Data Science.",https://www.nih.gov/funding/grants/us-nih-2026-54342,ARCHIVED,2026-03-23
CA-CIHR-2026-62691,Foundational Studies in Predictive Analytics with Adaptive Feedback,Canadian Institutes of Health Research,Fellowship,Data Science,"data science, cihr, statistical inference, data visualization, data cleaning","Individual researchers, scientists, and postdoctoral fellows.",1893000.0,CAD,2026-05-18,60 months,CA,"This program supports foundational studies in research into predictive analytics with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Data Science.",https://www.cihr.gov/funding/grants/ca-cihr-2026-62691,ARCHIVED,2026-04-15
JP-JSPS-2026-91836,Engineering Next-Generation Feature Engineering using Predictive Analytics,Japan Society for the Promotion of Science,Award,Data Science,"data science, jsps, data visualization, predictive analytics, big data","Academic institutions, non-profit research organizations, and small businesses.",1867000.0,JPY,2026-11-06,48 months,JP,"This program supports engineering next-generation research into feature engineering using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Data Science.",https://www.jsps.gov/funding/grants/jp-jsps-2026-91836,OPEN,2026-01-15
GB-UKRI-2026-61117,Collaborative Research on Statistical Inference in High-Risk Environments,UK Research and Innovation,Grant,Data Science,"data science, ukri, statistical inference, predictive analytics, feature engineering","Ph.D. holders, early-career researchers, and university research groups.",240000.0,GBP,2026-08-31,60 months,GB,"This program supports collaborative research on research into statistical inference in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Data Science.",https://www.ukri.gov/funding/grants/gb-ukri-2026-61117,OPEN,2026-05-01
US-NSF-2026-80770,Engineering Next-Generation Predictive Analytics to Improve Social Well-being,National Science Foundation,Award,Data Science,"data science, nsf, big data, feature engineering, predictive analytics",Consortia of higher education institutions and private industry partners.,915000.0,USD,2027-05-20,60 months,US,"This program supports engineering next-generation research into predictive analytics to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Data Science.",https://www.nsf.gov/funding/grants/us-nsf-2026-80770,OPEN,2026-04-26
GB-UKRI-2026-26228,Research on Feature Engineering using High-Performance Computing,UK Research and Innovation,Award,Data Science,"data science, ukri, data cleaning, predictive analytics, data visualization",Open to all international organizations and researchers.,1222000.0,GBP,2026-10-13,12 months,GB,"This program supports research on research into feature engineering using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Data Science.",https://www.ukri.gov/funding/grants/gb-ukri-2026-26228,OPEN,2026-03-20
JP-JSPS-2026-88059,Development of Predictive Analytics in Resource-Constrained Environments,Japan Society for the Promotion of Science,Fellowship,Data Science,"data science, jsps, feature engineering, data visualization, data cleaning",Open to all international organizations and researchers.,1657000.0,JPY,2027-04-20,60 months,JP,"This program supports development of research into predictive analytics in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Data Science.",https://www.jsps.gov/funding/grants/jp-jsps-2026-88059,OPEN,2026-05-01
US-NIH-2026-52971,Foundational Studies in Statistical Inference to Improve Social Well-being,National Institutes of Health,Grant,Data Science,"data science, nih, feature engineering, data cleaning, statistical inference","Academic institutions, non-profit research organizations, and small businesses.",250000.0,USD,2027-01-01,24 months,US,"This program supports foundational studies in research into statistical inference to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Data Science.",https://www.nih.gov/funding/grants/us-nih-2026-52971,OPEN,2026-04-11
US-NSF-2026-65690,Collaborative Research on Data Cleaning to Improve Social Well-being,National Science Foundation,Award,Data Science,"data science, nsf, data cleaning, statistical inference, feature engineering",Consortia of higher education institutions and private industry partners.,1436000.0,USD,2026-06-22,60 months,US,"This program supports collaborative research on research into data cleaning to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Data Science.",https://www.nsf.gov/funding/grants/us-nsf-2026-65690,ARCHIVED,2026-03-20
AU-ARC-2026-93422,Novel Approaches to Data Cleaning using Predictive Analytics,Australian Research Council,Fellowship,Data Science,"data science, arc, statistical inference, data visualization, data cleaning","Individual researchers, scientists, and postdoctoral fellows.",383000.0,AUD,2027-07-09,24 months,AU,"This program supports novel approaches to research into data cleaning using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Data Science.",https://www.arc.gov/funding/grants/au-arc-2026-93422,OPEN,2026-03-28
JP-JSPS-2026-79355,Investigation of Feature Engineering to Improve Social Well-being,Japan Society for the Promotion of Science,Cooperative Agreement,Data Science,"data science, jsps, statistical inference, predictive analytics, big data",Open to all international organizations and researchers.,116000.0,JPY,2027-01-11,24 months,JP,"This program supports investigation of research into feature engineering to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Data Science.",https://www.jsps.gov/funding/grants/jp-jsps-2026-79355,OPEN,2026-03-18
US-NIH-2026-25842,Advancements in Statistical Inference in Resource-Constrained Environments,National Institutes of Health,Contract,Data Science,"data science, nih, predictive analytics, feature engineering, statistical inference",Consortia of higher education institutions and private industry partners.,363000.0,USD,2027-02-05,12 months,US,"This program supports advancements in research into statistical inference in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Data Science.",https://www.nih.gov/funding/grants/us-nih-2026-25842,OPEN,2026-07-02
